Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Cash 5,12TH AVENUE MARKET & DELI,2620 E 12TH AVE,DENVER,80206,3,"$40,200"
Cash 5,287 CRAFT SPIRITS,5846 S COLLEGE AVE,FORT COLLINS,80525,1,"$1,000"
Cash 5,34 LIQUORS,1205 E EISENHOWER BLVD,LOVELAND,80537,2,"$21,010"
Cash 5,52 LIQUOR,901 CARBONDALE DR,DACONO,80514,1,"$2,000"
Cash 5,7-ELEVEN #13071B,5 WIDEFIELD,COLORADO SPRINGS,80911,3,"$42,000"
Cash 5,7-ELEVEN #13082B,310 W UINTAH ST,COLORADO SPRINGS,80905,1,$200
Cash 5,7-ELEVEN #13093A,1760 SHASTA DR,COLORADO SPRINGS,80910,1,"$20,000"
Cash 5,7-ELEVEN #13111S,2727 S PRAIRIE,PUEBLO,81005,1,"$20,000"
Cash 5,7-ELEVEN #13128B,9101 W JEWELL,LAKEWOOD,80232,2,"$40,000"
Cash 5,7-ELEVEN #13157A,7270 BROADWAY,DENVER,80221,2,"$40,000"
Cash 5,7-ELEVEN #13164A,2605 VALMONT RD,BOULDER,80304,1,"$20,000"
Cash 5,7-ELEVEN #13167A,7540 PECOS ST,DENVER,80221,1,"$20,000"
Cash 5,7-ELEVEN #13195A,4040 E 8TH AVE,DENVER,80220,2,"$40,000"
Cash 5,7-ELEVEN #13197A,1645 E 17TH AVE,DENVER,80218,1,"$20,000"
Cash 5,7-ELEVEN #13203A,7675 E COLFAX AVE,DENVER,80220,1,"$2,000"
Cash 5,7-ELEVEN #13206B,3900 S BROADWAY,ENGLEWOOD,80113,1,"$20,000"
Cash 5,7-ELEVEN #13213A,567 E LOUISIANA,DENVER,80210,2,"$40,000"
Cash 5,7-ELEVEN #15041A,311 W MAIN,STERLING,80751,1,"$20,000"
Cash 5,7-ELEVEN #15068A,331 S HANCOCK,COLORADO SPRINGS,80903,1,"$20,000"
Cash 5,7-ELEVEN #15203A,703 E PLATTE,FORT MORGAN,80701,1,"$20,000"
Cash 5,7-ELEVEN #15955A,620 EDISON,BRUSH,80723,2,"$3,050"
Cash 5,7-ELEVEN #16068A,2641 S ESTES,LAKEWOOD,80227,1,"$20,000"
Cash 5,7-ELEVEN #17127S,905 W NORTHERN,PUEBLO,81004,2,"$40,000"
Cash 5,7-ELEVEN #17134B,9200 W ALAMEDA,LAKEWOOD,80226,6,"$121,420"
Cash 5,7-ELEVEN #17299A,8390 W 14TH AVE,LAKEWOOD,80214,1,"$20,000"
Cash 5,7-ELEVEN #17596C,10722 E ALAMEDA,AURORA,80012,1,"$20,000"
Cash 5,7-ELEVEN #18409A,16080 E COLFAX,AURORA,80011,2,"$40,002"
Cash 5,7-ELEVEN #18497A,5010 KIPLING ST,WHEAT RIDGE,80033,1,"$20,000"
Cash 5,7-ELEVEN #18556A,8801 HURON ST,THORNTON,80260,1,"$20,000"
Cash 5,7-ELEVEN #18576B,3901 E 112TH AVE UNIT F,THORNTON,80233,1,"$20,000"
Cash 5,7-ELEVEN #18730A,3177 E COLFAX,DENVER,80206,2,"$40,000"
Cash 5,7-ELEVEN #19136A,6490 WARD RD,ARVADA,80004,2,"$40,012"
Cash 5,7-ELEVEN #20308B,283 HWY 105,MONUMENT,80132,1,"$2,000"
Cash 5,7-ELEVEN #20343B,2407 N UNION,COLORADO SPRINGS,80909,1,"$20,000"
Cash 5,7-ELEVEN #20638J,804 E 4TH ST,PUEBLO,81001,1,"$20,000"
Cash 5,7-ELEVEN #21494B,3005 S PEORIA,AURORA,80014,1,"$20,000"
Cash 5,7-ELEVEN #21562A,1651 S BUCKLEY RD,AURORA,80017,2,"$40,400"
Cash 5,7-ELEVEN #21967J,1475 'B' STREET,COLORADO SPRINGS,80906,1,"$20,000"
Cash 5,7-ELEVEN #22088A BCP WILLS,1329 MAIN ST,CARBONDALE,81623,1,"$1,005"
Cash 5,7-ELEVEN #22233B,1240 E FILLMORE,COLORADO SPRINGS,80907,1,"$20,000"
Cash 5,7-ELEVEN #22537A,1690 PEARL,DENVER,80203,3,"$41,000"
Cash 5,7-ELEVEN #22562 A,1801 S NEVADA AVE,COLORADO SPRINGS,80905,1,"$20,000"
Cash 5,7-ELEVEN #22613B,3004 WEST COLORADO,COLORADO SPRINGS,80904,1,"$20,000"
Cash 5,7-ELEVEN #22684B,1428 WEST COLORADO,COLORADO SPRINGS,80904,2,"$20,200"
Cash 5,7-ELEVEN #23154A,13790 E QUINCY AVE,AURORA,80015,2,"$40,000"
Cash 5,7-ELEVEN #23418A,10502 E COLFAX,AURORA,80010,3,"$60,000"
Cash 5,7-ELEVEN #23546B,1402 HARRISON RD,COLORADO SPRINGS,80905,1,"$20,000"
Cash 5,7-ELEVEN #23664A,2396 S FEDERAL,DENVER,80219,1,"$1,001"
Cash 5,7-ELEVEN #23811J,327 W 8TH ST,PUEBLO,81003,2,"$40,000"
Cash 5,7-ELEVEN #23829B,6302 E 72ND AVE,COMMERCE CITY,80022,2,"$1,200"
Cash 5,7-ELEVEN #23888A,1702 S 8TH ST,COLORADO SPRINGS,80905,1,"$20,000"
Cash 5,7-ELEVEN #23905B,1000 E COLFAX,DENVER,80218,1,"$20,000"
Cash 5,7-ELEVEN #23990A,1795 PEORIA ST,AURORA,80010,1,"$20,000"
Cash 5,7-ELEVEN #24079B,8250 W COAL MINE AVE,LITTLETON,80123,1,"$20,000"
Cash 5,7-ELEVEN #24116A,1585 S BROADWAY,DENVER,80210,1,"$20,000"
Cash 5,7-ELEVEN #24359A,2410 S UNIVERSITY BLVD,DENVER,80210,1,"$20,000"
Cash 5,7-ELEVEN #24398A,3306 E FOUNTAIN,COLORADO SPRINGS,80910,2,"$40,000"
Cash 5,7-ELEVEN #24438A,995 N CIRCLE,COLORADO SPRINGS,80909,1,$200
Cash 5,7-ELEVEN #24460B,510 SECURITY BLVD,COLORADO SPRINGS,80911,3,"$60,000"
Cash 5,7-ELEVEN #24856A,1066 E 88TH AVE,THORNTON,80229,1,$200
Cash 5,7-ELEVEN #25052B,890 S FEDERAL,DENVER,80219,1,"$20,000"
Cash 5,7-ELEVEN #25325B,12057 PECOS ST,WESTMINSTER,80234,3,"$60,000"
Cash 5,7-ELEVEN #25550A,12880 ALLBROOK DR,DENVER,80239,2,"$21,420"
Cash 5,7-ELEVEN #25581B,16400 S GOLDEN RD,GOLDEN,80401,1,"$20,011"
Cash 5,7-ELEVEN #25740C,18883 E HAMPDEN AVE,AURORA,80013,1,"$20,000"
Cash 5,7-ELEVEN #25794B,1685 JET WING DR,COLORADO SPRINGS,80916,2,"$40,000"
Cash 5,7-ELEVEN #25823B,7201 LOWELL BLVD,WESTMINSTER,80030,1,"$20,000"
Cash 5,7-ELEVEN #25907B,3200 E 45TH AVE,DENVER,80216,1,"$20,000"
Cash 5,7-ELEVEN #26295J,1426 N ACADEMY,COLORADO SPRINGS,80909,1,$200
Cash 5,7-ELEVEN #26574A,13190 E MISSISSIPPI,AURORA,80012,2,"$20,200"
Cash 5,7-ELEVEN #26682A,14593 E MISSISSIPPI,AURORA,80012,2,"$40,000"
Cash 5,7-ELEVEN #26692A,5805 PALMER PARK BLVD,COLORADO SPRINGS,80915,1,"$20,000"
Cash 5,7-ELEVEN #26693B,3740 RANDALL DR,COLORADO SPRINGS,80920,1,"$20,000"
Cash 5,7-ELEVEN #27022A,650 E 64TH AVE,DENVER,80229,1,"$20,000"
Cash 5,7-ELEVEN #27067B,3990 E 35TH AVENUE,DENVER,80205,1,"$20,000"
Cash 5,7-ELEVEN #27211A,15511 E 6TH AVE,AURORA,80011,1,"$20,000"
Cash 5,7-ELEVEN #27620A,303 SANTA FE DR,DENVER,80223,1,"$1,000"
Cash 5,7-ELEVEN #29024A,880 S BUCKLEY RD,AURORA,80017,1,"$20,000"
Cash 5,7-ELEVEN #32673A,1446 N 95TH,LAFAYETTE,80026,2,"$40,000"
Cash 5,7-ELEVEN #32810A,4500 PEORIA ST,DENVER,80239,1,"$20,400"
Cash 5,7-ELEVEN #32923A,16981 E LINCOLN AVE,PARKER,80134,1,$200
Cash 5,7-ELEVEN #32990A,3522 N ELIZABETH ST,PUEBLO,81008,1,"$20,000"
Cash 5,7-ELEVEN #33042B,8750 S YOSEMITE ST,LONETREE,80124,1,"$20,000"
Cash 5,7-ELEVEN #33043A,7725 FOUNTAIN MESA RD,FOUNTAIN,80817,1,"$20,000"
Cash 5,7-ELEVEN #33044A,14250 E ILIFF AVE,AURORA,80014,2,"$40,000"
Cash 5,7-ELEVEN #33710H,6040 BARNES ROAD,COLORADO SPRINGS,80922,1,"$20,000"
Cash 5,7-ELEVEN #34012A,5241 W 72ND AVE,ARVADA,80003,2,"$40,000"
Cash 5,7-ELEVEN #34087A,15610 E 104TH AVE,COMMERCE CITY,80022,1,"$20,000"
Cash 5,7-ELEVEN #34168B,3240 VILLAGE VISTA DR,ERIE,80516,1,"$20,000"
Cash 5,7-ELEVEN #34179B,4709 TOWER RD,DENVER,80249,1,"$20,000"
Cash 5,7-ELEVEN #34181B,21405 E QUINCY AVE,AURORA,80015,1,"$20,000"
Cash 5,7-ELEVEN #34330B,3810 N FEDERAL BLVD,DENVER,80211,1,$200
Cash 5,7-ELEVEN #34333A,3995 N LEWISTON ST #106,AURORA,80011,1,"$20,000"
Cash 5,7-ELEVEN #34342B,1975 E COLFAX AVE,DENVER,80206,2,"$40,000"
Cash 5,7-ELEVEN #34441A,13697 E ILIFF AVE #1,AURORA,80014,2,"$20,200"
Cash 5,7-ELEVEN #34442A,1726 CHAMPA ST,DENVER,80202,2,"$40,000"
Cash 5,7-ELEVEN #34504B,7451 S GARTRELL RD,AURORA,80016,1,"$20,000"
Cash 5,7-ELEVEN #34526A,1800 LAWRENCE STREET,DENVER,80202,1,"$20,000"
Cash 5,7-ELEVEN #34534A,6201 E 14TH AVE,DENVER,80220,2,"$20,200"
Cash 5,7-ELEVEN #34570A,1755 BLAKE STREET,DENVER,80202,1,"$20,000"
Cash 5,7-ELEVEN #34675B,1910 S HAVANA ST #2,AURORA,80014,3,"$60,000"
Cash 5,7-ELEVEN #34921A,2350 HANCOCK EXPRESSWAY,COLORADO SPRINGS,80910,1,"$20,000"
Cash 5,7-ELEVEN #34924A,2803 W 10TH STREET,GREELEY,80634,1,"$20,000"
Cash 5,7-ELEVEN #35040A,551 E COLFAX,DENVER,80203,1,"$20,000"
Cash 5,7-ELEVEN #35337A,2825 BRIARGATE BLVD,COLORADO SPRINGS,80920,1,$200
Cash 5,7-ELEVEN #35345B,2250 MOUNTAINVIEW AVENUE,LONGMONT,80501,2,"$40,000"
Cash 5,7-ELEVEN #35357J,5190 W 113TH AVENUE,WESTMINSTER,80031,1,"$20,000"
Cash 5,7-ELEVEN #35506J,3045 W PROSPECT ROAD,FORT COLLINS,80526,1,"$20,000"
Cash 5,7-ELEVEN #35976B,8755 E MONTVIEW BLVD,DENVER,80220,1,"$20,000"
Cash 5,7-ELEVEN #35979A,2950 W EVANS AVE,DENVER,80219,1,"$20,000"
Cash 5,7-ELEVEN #36464B,8111 TOWER ROAD,COMMERCE CITY,80022,1,"$20,000"
Cash 5,7-ELEVEN #36769A,1510 S HOLLY STREET,DENVER,80222,1,"$20,000"
Cash 5,7-ELEVEN #37120A,3200 CHAMBERS RD,AURORA,80011,1,"$20,000"
Cash 5,7-ELEVEN #37291A,12241 E 104TH PL,COMMERCE CITY,80022,2,"$40,000"
Cash 5,7-ELEVEN #39079B,200 N TAFT HILL RD,FORT COLLINS,80521,1,"$20,000"
Cash 5,7-ELEVEN #39339 BCP EL PASO CO,1810 MAIN STREET,SECURITY,80911,1,"$20,000"
Cash 5,7-ELEVEN #39421A BCP WILLS,9301 S PARKER RD,PARKER,80134,1,"$20,000"
Cash 5,7-ELEVEN #39472 BCP EL PASO CO,4325 S CAREFREE CIRCLE,COLORADO SPRINGS,80917,1,"$20,000"
Cash 5,7-ELEVEN #39504A TWIN STAR,4351 S TAMARAC PKWY,DENVER,80237,1,"$20,000"
Cash 5,7-ELEVEN #39510H,3914 STATE HWY 119,LONGMONT,80504,1,"$20,000"
Cash 5,7-ELEVEN #39731A BCP TWIN STAR,9100 W KEN CARYL AVE,LITTLETON,80128,1,"$20,000"
Cash 5,7-ELEVEN #39733A BCP TWIN STAR,9010 PARK MEADOWS DR,LONE TREE,80124,1,"$20,000"
Cash 5,7-ELEVEN #39753A BCP TWIN STAR,7190 SIMMS STREET,ARVADA,80004,1,"$20,000"
Cash 5,8TH ST U FILL IT,227 8TH STREET,GREELEY,80631,1,"$20,000"
Cash 5,A-1 LIQUOR STORE,12345 BRIGHTON RD,HENDERSON,80640,9,"$86,007"
Cash 5,A-B PETROLEUM #19,1253 W ALAMEDA AVE,DENVER,80223,3,"$41,002"
Cash 5,A-B PETROLEUM #22,620 SANTA FE,DENVER,80204,1,"$1,000"
Cash 5,A-B PETROLEUM #36,14501 E COLFAX AVE,AURORA,80011,1,"$20,000"
Cash 5,ALL IN ONE STORE,6725 WADSWORTH BLVD,ARVADA,80003,1,"$20,000"
Cash 5,ALTA CONVENIENCE #3104,725 W NORTHERN AVE,PUEBLO,81004,2,$400
Cash 5,ALTA CONVENIENCE #3106,2801 N ELIZABETH,PUEBLO,81003,1,"$20,000"
Cash 5,ALTA CONVENIENCE #3205,700 4TH AVE,FORT GARLAND,81133,1,"$20,000"
Cash 5,ALTA CONVENIENCE #3701,337 W 1ST STREET,SALIDA,81201,1,"$20,000"
Cash 5,ALTA CONVENIENCE #5111,111 E HWY 112,CENTER,81125,1,"$20,000"
Cash 5,ALTA CONVENIENCE #6006,40 STATE HWY 67,WOODLAND PARK,80863,2,"$40,000"
Cash 5,ALTA CONVENIENCE #6114,2387 W 72ND AVE,THORNTON,80221,1,"$20,000"
Cash 5,ALTA CONVENIENCE #6123,9190 HURON ST,THORNTON,80260,1,"$20,000"
