Ball,Times drawn,Last time drawn
1,1173,10/28/2020
2,1172,10/29/2020
3,1189,10/28/2020
4,1245,10/23/2020
5,1136,10/26/2020
6,1151,10/27/2020
7,1225,10/25/2020
8,1192,10/18/2020
9,1133,10/18/2020
10,1173,10/24/2020
11,1189,10/10/2020
12,1153,10/27/2020
13,1197,10/07/2020
14,1200,10/20/2020
15,1184,10/07/2020
16,1167,10/29/2020
17,1177,10/27/2020
18,1205,10/26/2020
19,1155,10/29/2020
20,1155,10/29/2020
21,1126,10/25/2020
22,1134,10/25/2020
23,1183,10/28/2020
24,1142,10/26/2020
25,1221,10/29/2020
26,1157,10/25/2020
27,1208,10/22/2020
28,1127,10/15/2020
29,1123,10/19/2020
30,1157,10/28/2020
31,1186,10/24/2020
32,1210,10/21/2020
