Ball,Times drawn (excluding Plus),Last time drawn,Times drawn in Plus,Last time drawn in Plus
1,450,08/05/2020,14,09/30/2020
2,477,09/23/2020,13,10/28/2020
3,478,10/28/2020,19,10/14/2020
4,466,10/17/2020,17,10/28/2020
5,461,10/24/2020,19,09/30/2020
6,413,10/24/2020,24,10/21/2020
7,477,10/21/2020,23,10/21/2020
8,426,10/17/2020,19,09/12/2020
9,479,10/24/2020,16,10/17/2020
10,488,10/03/2020,22,10/24/2020
11,480,08/15/2020,11,09/02/2020
12,462,10/28/2020,12,10/07/2020
13,453,09/19/2020,18,09/26/2020
14,481,10/24/2020,20,10/21/2020
15,465,09/12/2020,19,10/21/2020
16,465,10/21/2020,13,08/15/2020
17,495,10/28/2020,18,10/07/2020
18,489,10/28/2020,16,08/19/2020
19,469,10/21/2020,13,10/24/2020
20,462,10/07/2020,19,10/14/2020
21,469,10/17/2020,14,08/12/2020
22,460,10/10/2020,21,10/24/2020
23,464,10/07/2020,19,10/24/2020
24,449,10/10/2020,13,10/07/2020
25,473,09/23/2020,20,10/14/2020
26,449,10/10/2020,24,10/28/2020
27,447,09/02/2020,17,10/24/2020
28,433,08/12/2020,20,10/21/2020
29,484,10/24/2020,21,10/28/2020
30,471,10/21/2020,16,10/24/2020
31,439,10/14/2020,11,10/28/2020
32,429,09/30/2020,19,10/07/2020
33,491,10/17/2020,17,10/10/2020
34,505,10/14/2020,23,10/17/2020
35,435,10/14/2020,15,08/22/2020
36,470,10/28/2020,17,10/10/2020
37,458,10/21/2020,13,10/28/2020
38,456,10/17/2020,16,10/17/2020
39,453,10/28/2020,6,10/14/2020
40,454,10/03/2020,17,09/09/2020
41,418,09/18/2019,0,--
42,431,09/11/2019,0,--
