,address,city,zip
0,7270 BROADWAY,DENVER,80221
1,1645 E 17TH AVE,DENVER,80218
2,567 E LOUISIANA,DENVER,80210
3,2641 S ESTES,LAKEWOOD,80227
4,1120 S PARKER RD,DENVER,80231
5,2609 FEDERAL BLVD,DENVER,80211
6,9200 W ALAMEDA,LAKEWOOD,80226
7,10722 E ALAMEDA,AURORA,80012
8,10010 E GIRARD,DENVER,80231
9,16080 E COLFAX,AURORA,80011
10,5010 KIPLING ST,WHEAT RIDGE,80033
11,3901 E 112TH AVE UNIT F,THORNTON,80233
12,511 AGATE AVE,GRANBY,80446
13,104 E 18TH ST,GREELEY,80631
14,3177 E COLFAX,DENVER,80206
15,235 W 7TH AVE,WALSENBURG,81089
16,283 HWY 105,MONUMENT,80132
17,6515 S DAYTON,ENGLEWOOD,80111
18,15553 E MISSISSIPPI AVE,AURORA,80017
19,5195 W BYRON PL,DENVER,80212
20,4085 E MISSISSIPPI AVENUE,DENVER,80246
21,525 N UNION,COLORADO SPRINGS,80909
22,1329 MAIN ST,CARBONDALE,81623
23,1240 E FILLMORE,COLORADO SPRINGS,80907
24,1801 S NEVADA AVE,COLORADO SPRINGS,80905
25,1402 HARRISON RD,COLORADO SPRINGS,80905
26,1000 E COLFAX,DENVER,80218
27,8250 W COAL MINE AVE,LITTLETON,80123
28,995 N CIRCLE,COLORADO SPRINGS,80909
29,510 SECURITY BLVD,COLORADO SPRINGS,80911
30,580 JOSEPHINE,DENVER,80206
31,4708 WASHINGTON ST,DENVER,80216
32,201 W FILLMORE,COLORADO SPRINGS,80907
33,12057 PECOS ST,WESTMINSTER,80234
34,1103 YOSEMITE,DENVER,80220
35,1426 N ACADEMY,COLORADO SPRINGS,80909
36,13190 E MISSISSIPPI,AURORA,80012
37,5805 PALMER PARK BLVD,COLORADO SPRINGS,80915
38,5595 S BROADWAY,LITTLETON,80121
39,16601 E SMOKEY HILL RD,AURORA,80015
40,1850 S SHERIDAN,LAKEWOOD,80232
41,10410 MELODY DR,NORTHGLENN,80234
42,623 W GARDEN OF GODS RD,COLORADO SPRINGS,80907
43,1446 N 95TH,LAFAYETTE,80026
44,6025 CONSTITUTION AVE,COLORADO SPRINGS,80915
45,4500 PEORIA ST,DENVER,80239
46,16981 E LINCOLN AVE,PARKER,80134
47,14250 E ILIFF AVE,AURORA,80014
48,6040 BARNES ROAD,COLORADO SPRINGS,80922
49,2434 BRIARGATE PKWY,COLORADO SPRINGS,80920
50,19390 E QUINCY AVE,AURORA,80015
51,21405 E QUINCY AVE,AURORA,80015
52,50 TELEP AVE,JOHNSTOWN,80534
53,6150 E US HWY 34,JOHNSTOWN,80534
54,3810 N FEDERAL BLVD,DENVER,80211
55,1975 E COLFAX AVE,DENVER,80206
56,13697 E ILIFF AVE #1,AURORA,80014
57,3099 W MINERAL AVE,LITTLETON,80120
58,3992 HAVANA STREET,DENVER,80239
