Draw date,Last Day To Claim,Winning Numbers,Jackpot,Jackpot CO Winners,Match 4 Prize,Match 4 CO Winners,Match 3 Prize,Match 3 CO Winners,Match 2 Prize,Match 2 CO Winners
"Oct. 29, 2020",04/27/2021,2 - 16 - 19 - 20 - 25,"$20,000",0,$200,28,$10,613,$1,5493
"Oct. 28, 2020",04/26/2021,1 - 3 - 23 - 25 - 30,"$20,000",1,$200,24,$10,662,$1,5929
"Oct. 27, 2020",04/25/2021,1 - 6 - 12 - 17 - 19,"$20,000",2,$200,23,$10,601,$1,5777
"Oct. 26, 2020",04/24/2021,3 - 5 - 18 - 24 - 25,"$20,000",0,$200,25,$10,595,$1,4996
"Oct. 25, 2020",04/23/2021,7 - 12 - 21 - 22 - 26,"$20,000",0,$200,38,$10,697,$1,4987
"Oct. 24, 2020",04/22/2021,1 - 10 - 16 - 18 - 31,"$20,000",1,$200,21,$10,717,$1,6821
"Oct. 23, 2020",04/21/2021,4 - 17 - 23 - 26 - 31,"$20,000",0,$200,37,$10,714,$1,5913
"Oct. 22, 2020",04/20/2021,3 - 17 - 27 - 30 - 31,"$20,000",0,$200,23,$10,781,$1,5862
"Oct. 21, 2020",04/19/2021,6 - 17 - 20 - 26 - 32,"$20,000",0,$200,12,$10,672,$1,5788
"Oct. 20, 2020",04/18/2021,6 - 14 - 23 - 26 - 27,"$20,000",0,$200,17,$10,666,$1,5399
"Oct. 19, 2020",04/17/2021,4 - 6 - 19 - 29 - 30,"$20,000",0,$200,16,$10,692,$1,5432
"Oct. 18, 2020",04/16/2021,8 - 9 - 16 - 25 - 32,"$20,000",0,$200,17,$10,566,$1,5260
"Oct. 17, 2020",04/15/2021,1 - 2 - 7 - 9 - 21,"$20,000",0,$200,62,$10,1203,$1,7945
"Oct. 16, 2020",04/14/2021,6 - 7 - 22 - 29 - 31,"$20,000",0,$200,27,$10,626,$1,6451
"Oct. 15, 2020",04/13/2021,5 - 20 - 27 - 28 - 32,"$20,000",1,$200,27,$10,643,$1,5843
"Oct. 14, 2020",04/12/2021,10 - 14 - 16 - 18 - 32,"$20,000",0,$200,30,$10,617,$1,5713
"Oct. 13, 2020",04/11/2021,4 - 12 - 16 - 23 - 28,"$20,000",0,$200,25,$10,692,$1,5797
"Oct. 12, 2020",04/10/2021,10 - 19 - 22 - 25 - 30,"$20,000",0,$200,21,$10,621,$1,5427
"Oct. 11, 2020",04/09/2021,2 - 3 - 7 - 10 - 22,"$20,000",0,$200,42,$10,902,$1,6518
"Oct. 10, 2020",04/08/2021,4 - 11 - 26 - 28 - 32,"$20,000",1,$200,23,$10,791,$1,6626
"Oct. 9, 2020",04/07/2021,6 - 7 - 18 - 23 - 32,"$20,000",1,$200,33,$10,765,$1,6508
"Oct. 8, 2020",04/06/2021,7 - 8 - 12 - 14 - 25,"$20,000",0,$200,34,$10,729,$1,5991
"Oct. 7, 2020",04/05/2021,3 - 5 - 13 - 15 - 30,"$20,000",0,$200,33,$10,816,$1,6613
"Oct. 6, 2020",04/04/2021,4 - 8 - 9 - 14 - 27,"$20,000",0,$200,23,$10,778,$1,6070
"Oct. 5, 2020",04/03/2021,2 - 4 - 6 - 13 - 20,"$20,000",1,$200,34,$10,775,$1,5889
"Oct. 4, 2020",04/02/2021,4 - 19 - 21 - 28 - 29,"$20,000",0,$200,20,$10,601,$1,5488
"Oct. 3, 2020",04/01/2021,4 - 8 - 27 - 31 - 32,"$20,000",0,$200,38,$10,893,$1,6794
"Oct. 2, 2020",03/31/2021,10 - 13 - 21 - 23 - 27,"$20,000",0,$200,24,$10,841,$1,6381
"Oct. 1, 2020",03/30/2021,7 - 15 - 16 - 19 - 25,"$20,000",0,$200,32,$10,736,$1,6235
"Sept. 30, 2020",03/29/2021,6 - 9 - 18 - 25 - 32,"$20,000",0,$200,38,$10,733,$1,6362
"Sept. 29, 2020",03/28/2021,4 - 9 - 14 - 19 - 29,"$20,000",0,$200,43,$10,801,$1,5892
"Sept. 28, 2020",03/27/2021,1 - 9 - 15 - 16 - 19,"$20,000",0,$200,32,$10,716,$1,5622
"Sept. 27, 2020",03/26/2021,2 - 8 - 12 - 19 - 23,"$20,000",0,$200,25,$10,642,$1,5470
"Sept. 26, 2020",03/25/2021,1 - 5 - 7 - 16 - 22,"$20,000",0,$200,48,$10,975,$1,7303
"Sept. 25, 2020",03/24/2021,2 - 8 - 12 - 20 - 30,"$20,000",1,$200,34,$10,767,$1,6265
"Sept. 24, 2020",03/23/2021,11 - 12 - 15 - 17 - 23,"$20,000",0,$200,25,$10,780,$1,6122
"Sept. 23, 2020",03/22/2021,8 - 11 - 22 - 24 - 26,"$20,000",0,$200,30,$10,764,$1,6248
"Sept. 22, 2020",03/21/2021,8 - 9 - 25 - 27 - 32,"$20,000",0,$200,18,$10,671,$1,5904
"Sept. 21, 2020",03/20/2021,2 - 6 - 17 - 20 - 26,"$20,000",0,$200,27,$10,637,$1,5591
"Sept. 20, 2020",03/19/2021,1 - 2 - 5 - 14 - 29,"$20,000",0,$200,23,$10,675,$1,5702
"Sept. 19, 2020",03/18/2021,21 - 24 - 26 - 28 - 30,"$20,000",0,$200,33,$10,698,$1,5949
"Sept. 18, 2020",03/17/2021,5 - 13 - 17 - 22 - 24,"$20,000",0,$200,26,$10,685,$1,6193
"Sept. 17, 2020",03/16/2021,7 - 8 - 9 - 14 - 26,"$20,000",0,$200,28,$10,829,$1,6386
"Sept. 16, 2020",03/15/2021,1 - 7 - 19 - 24 - 29,"$20,000",0,$200,25,$10,841,$1,6738
"Sept. 15, 2020",03/14/2021,2 - 3 - 13 - 21 - 22,"$20,000",0,$200,34,$10,734,$1,6354
"Sept. 14, 2020",03/13/2021,19 - 20 - 27 - 28 - 31,"$20,000",0,$200,19,$10,530,$1,5251
"Sept. 13, 2020",03/12/2021,5 - 9 - 11 - 15 - 19,"$20,000",0,$200,40,$10,850,$1,6354
"Sept. 12, 2020",03/11/2021,1 - 10 - 17 - 27 - 28,"$20,000",0,$200,20,$10,789,$1,6910
"Sept. 11, 2020",03/10/2021,9 - 25 - 28 - 29 - 32,"$20,000",0,$200,33,$10,742,$1,5846
"Sept. 10, 2020",03/09/2021,4 - 11 - 29 - 30 - 32,"$20,000",0,$200,17,$10,669,$1,5531
"Sept. 9, 2020",03/08/2021,4 - 11 - 19 - 23 - 24,"$20,000",0,$200,25,$10,785,$1,6139
"Sept. 8, 2020",03/07/2021,2 - 4 - 12 - 14 - 32,"$20,000",0,$200,30,$10,629,$1,5594
"Sept. 7, 2020",03/06/2021,2 - 16 - 21 - 22 - 28,"$20,000",0,$200,39,$10,646,$1,5394
"Sept. 6, 2020",03/05/2021,3 - 7 - 8 - 14 - 25,"$20,000",0,$200,31,$10,749,$1,6449
"Sept. 5, 2020",03/04/2021,6 - 11 - 13 - 25 - 26,"$20,000",0,$200,34,$10,736,$1,6773
"Sept. 4, 2020",03/03/2021,6 - 7 - 14 - 19 - 29,"$20,000",0,$200,25,$10,807,$1,6837
"Sept. 3, 2020",03/02/2021,2 - 10 - 20 - 22 - 30,"$20,000",6,$200,69,$10,742,$1,6111
"Sept. 2, 2020",03/01/2021,4 - 7 - 23 - 25 - 28,"$20,000",0,$200,35,$10,840,$1,6797
"Sept. 1, 2020",02/28/2021,9 - 15 - 20 - 28 - 30,"$20,000",0,$200,25,$10,640,$1,6118
"Aug. 31, 2020",02/27/2021,6 - 12 - 23 - 30 - 32,"$20,000",0,$200,17,$10,621,$1,5342
"Aug. 30, 2020",02/26/2021,4 - 13 - 21 - 26 - 28,"$20,000",0,$200,29,$10,649,$1,5292
"Aug. 29, 2020",02/25/2021,1 - 6 - 12 - 15 - 27,"$20,000",0,$200,36,$10,839,$1,7024
"Aug. 28, 2020",02/24/2021,6 - 14 - 15 - 16 - 31,"$20,000",0,$200,28,$10,687,$1,5987
"Aug. 27, 2020",02/23/2021,4 - 14 - 17 - 25 - 26,"$20,000",0,$200,24,$10,640,$1,5314
"Aug. 26, 2020",02/22/2021,1 - 6 - 22 - 25 - 32,"$20,000",0,$200,39,$10,665,$1,5906
"Aug. 25, 2020",02/21/2021,1 - 4 - 7 - 17 - 22,"$20,000",0,$200,49,$10,907,$1,6830
"Aug. 24, 2020",02/20/2021,1 - 6 - 8 - 30 - 31,"$20,000",0,$200,24,$10,617,$1,5661
"Aug. 23, 2020",02/19/2021,4 - 10 - 11 - 26 - 28,"$20,000",0,$200,29,$10,679,$1,5753
"Aug. 22, 2020",02/18/2021,1 - 11 - 15 - 18 - 21,"$20,000",0,$200,23,$10,884,$1,7370
"Aug. 21, 2020",02/17/2021,1 - 5 - 15 - 22 - 24,"$20,000",0,$200,24,$10,892,$1,6645
