,address,city,zip,latitude,longitude,number,street,county,country,population_count,coordinance
0,7270 BROADWAY,DENVER,80221,39.828804999999996,-104.987024,7270,Broadway St,Adams County,US,1880.0,"(39.828804999999996, -104.987024)"
1,1645 E 17TH AVE,DENVER,80218,39.743477,-104.96756200000002,1645,E 17th Ave,Denver County,US,1540.0,"(39.743477, -104.96756200000002)"
2,567 E LOUISIANA,DENVER,80210,39.676626,-104.96231499999999,567,E Louisiana,Denver County,US,1975.581818181818,"(39.676626, -104.96231499999999)"
3,2641 S ESTES,LAKEWOOD,80227,39.668721999999995,-105.09553000000001,2641,S Estes St,Jefferson County,US,877.0,"(39.668721999999995, -105.09553000000001)"
4,1120 S PARKER RD,DENVER,80231,39.696117,-104.896244,1120,S Parker Rd,Arapahoe County,US,2012.0,"(39.696117, -104.896244)"
5,2609 FEDERAL BLVD,DENVER,80211,39.755055,-105.02537199999999,2609,Federal Blvd,Denver County,US,1115.0,"(39.755055, -105.02537199999999)"
6,9200 W ALAMEDA,LAKEWOOD,80226,39.710479,-105.10054299999999,9200,W Alameda Ave,Jefferson County,US,1449.0,"(39.710479, -105.10054299999999)"
7,10722 E ALAMEDA,AURORA,80012,39.710629,-104.863386,10722,E Alameda Ave,Arapahoe County,US,1801.0,"(39.710629, -104.863386)"
8,10010 E GIRARD,DENVER,80231,39.65441,-104.87173899999999,10010,E Girard Ave,Denver County,US,1379.0,"(39.65441, -104.87173899999999)"
9,16080 E COLFAX,AURORA,80011,39.739845,-104.801023,16080,E Colfax Ave,Arapahoe County,US,1754.0,"(39.739845, -104.801023)"
10,5010 KIPLING ST,WHEAT RIDGE,80033,39.788196,-105.10914199999999,5010,Kipling St,Jefferson County,US,918.0,"(39.788196, -105.10914199999999)"
11,3901 E 112TH AVE UNIT F,THORNTON,80233,39.899956,-104.94078300000001,3901,E 112th Ave,Adams County,US,941.0,"(39.899956, -104.94078300000001)"
12,511 AGATE AVE,GRANBY,80446,40.085132,-105.93379399999999,511,E Agate Ave,Grand County,US,1951.0,"(40.085132, -105.93379399999999)"
13,104 E 18TH ST,GREELEY,80631,40.409616,-104.677595,104,E 18th St,Weld County,US,1229.0,"(40.409616, -104.677595)"
14,3177 E COLFAX,DENVER,80206,39.740417,-104.95041,3177,E Colfax Ave,Denver County,US,1770.0,"(39.740417, -104.95041)"
15,235 W 7TH AVE,WALSENBURG,81089,37.621731,-104.78296999999999,235,W 7th St,Huerfano County,US,760.0,"(37.621731, -104.78296999999999)"
16,283 HWY 105,MONUMENT,80132,39.093391,-104.86460500000001,283,W Highway 105,El Paso County,US,4209.0,"(39.093391, -104.86460500000001)"
17,6515 S DAYTON,ENGLEWOOD,80111,39.598467,-104.87665700000001,6515,S Dayton St,Arapahoe County,US,1833.0,"(39.598467, -104.87665700000001)"
18,15553 E MISSISSIPPI AVE,AURORA,80017,39.697165000000005,-104.807012,15553,E Mississippi Ave,Arapahoe County,US,2168.0,"(39.697165000000005, -104.807012)"
19,5195 W BYRON PL,DENVER,80212,39.7533,-105.052879,5195,W Byron Pl,Denver County,US,1005.0,"(39.7533, -105.052879)"
20,4085 E MISSISSIPPI AVENUE,DENVER,80246,39.696828000000004,-104.939994,4085,E Mississippi Ave,Denver County,US,761.0,"(39.696828000000004, -104.939994)"
21,525 N UNION,COLORADO SPRINGS,80909,38.840685,-104.79389599999999,525,N Union Blvd,El Paso County,US,1527.0,"(38.840685, -104.79389599999999)"
22,1329 MAIN ST,CARBONDALE,81623,39.401404,-107.220368,1329,Main St,Garfield County,US,1110.0,"(39.401404, -107.220368)"
23,1240 E FILLMORE,COLORADO SPRINGS,80907,38.874334999999995,-104.803789,1240,E Fillmore St,El Paso County,US,671.0,"(38.874334999999995, -104.803789)"
24,1801 S NEVADA AVE,COLORADO SPRINGS,80905,38.807712,-104.82106,1801,S Nevada Ave,El Paso County,US,930.0,"(38.807712, -104.82106)"
25,1402 HARRISON RD,COLORADO SPRINGS,80905,38.796265000000005,-104.800985,1402,Harrison Rd,El Paso County,US,1263.0,"(38.796265000000005, -104.800985)"
26,1000 E COLFAX,DENVER,80218,39.739853000000004,-104.97509299999999,1000,E Colfax Ave,Denver County,US,1489.0,"(39.739853000000004, -104.97509299999999)"
27,8250 W COAL MINE AVE,LITTLETON,80123,39.594359000000004,-105.089248,8250,W Coal Mine Ave,Jefferson County,US,1715.0,"(39.594359000000004, -105.089248)"
28,995 N CIRCLE,COLORADO SPRINGS,80909,38.846812,-104.775444,995,N Circle Dr,El Paso County,US,2178.0,"(38.846812, -104.775444)"
29,510 SECURITY BLVD,COLORADO SPRINGS,80911,38.751883,-104.742253,510,Security Blvd,El Paso County,US,941.0,"(38.751883, -104.742253)"
30,580 JOSEPHINE,DENVER,80206,39.725502,-104.95846599999999,580,Josephine St,Denver County,US,1243.0,"(39.725502, -104.95846599999999)"
31,4708 WASHINGTON ST,DENVER,80216,39.785428,-104.978298,4708,Washington St,Denver County,US,1354.0,"(39.785428, -104.978298)"
32,201 W FILLMORE,COLORADO SPRINGS,80907,38.874516,-104.82583000000001,201,W Fillmore St,El Paso County,US,879.0,"(38.874516, -104.82583000000001)"
33,12057 PECOS ST,WESTMINSTER,80234,39.914975,-105.00658999999999,12057,Pecos St,Adams County,US,1196.0,"(39.914975, -105.00658999999999)"
34,1103 YOSEMITE,DENVER,80220,39.733062,-104.885026,1103,Yosemite St,Denver County,US,2744.0,"(39.733062, -104.885026)"
