,draw_date,draw_year,draw_month,draw_day,winning_numbers_list,winning_numbers,winning_numbers_new,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,ball_1_int,ball_2_int,ball_3_int,ball_4_int,ball_5_int,ball_6_int,odd_even,odd_even_0,odd_even_1,odd_even_2,odd_even_3,odd_even_4,odd_even_5,odd_even_6,high_low,high_low_0,high_low_1,high_low_2,high_low_3,high_low_4,high_low_5,high_low_6,IQR,IQR_0,IQR_1,IQR_2,IQR_3,IQR_4,IQR_5,IQR_6,delta_1,delta_2,delta_3,delta_4,delta_5,jackpot,jackpot_cash_value,jackpot_co_winners,match_5_prize,match_5_co_winners,match_4_prize,match_4_co_winners,match_3_prize,match_3_co_winners,match_5_2x_prize,match_5_2x_winners,match_5_3x_prize,match_5_3x_winners,match_5_4x_prize,match_5_4x_winners,match_5_5x_prize,match_5_5x_winners,match_4_2x_prize,match_4_2x_winners,match_4_3x_prize,match_4_3x_winners,match_4_4x_prize,match_4_4x_winners,match_4_5x_prize,match_4_5x_winners,match_3_2x_prize,match_3_2x_winners,match_3_3x_prize,match_3_3x_winners,match_3_4x_prize,match_3_4x_winners,match_3_5x_prize,match_3_5x_winners
0,2020-12-02,2020,12,02,['22   27   28   29   33   36'],22   27   28   29   33   36,"[""'22'"", ""'27'"", ""'28'"", ""'29'"", ""'33'"", ""'36'""]",22,27,28,29,33,36,22,27,28,29,33,36,3,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,5,1,1,4,3,11085298.0,5542649.0,0,0,0,0,0,0,0,500,6,750,4,1000,1,1250,1,50,293,75,165,100,63,125,63,6,4468,9,2746,12,913,15,903
1,2020-11-28,2020,11,28,['1   5   23   25   29   40'],1   5   23   25   29   40,"[""'1'"", ""'5'"", ""'23'"", ""'25'"", ""'29'"", ""'40'""]",1,5,23,25,29,40,1,5,23,25,29,40,5,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,4,18,2,4,11,10781834.0,5390917.0,0,0,0,0,0,0,0,500,7,750,4,1000,2,1250,1,50,289,75,185,100,60,125,71,6,4534,9,2690,12,878,15,984
2,2020-11-25,2020,11,25,['3   21   22   23   30   37'],3   21   22   23   30   37,"[""'3'"", ""'21'"", ""'22'"", ""'23'"", ""'30'"", ""'37'""]",3,21,22,23,30,37,3,21,22,23,30,37,4,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,18,1,1,7,7,10500925.0,5250462.0,0,0,0,0,0,0,0,500,8,750,3,1000,1,1250,1,50,328,75,177,100,71,125,74,6,4610,9,2825,12,931,15,910
3,2020-11-21,2020,11,21,['1   13   18   25   37   40'],1   13   18   25   37   40,"[""'1'"", ""'13'"", ""'18'"", ""'25'"", ""'37'"", ""'40'""]",1,13,18,25,37,40,1,13,18,25,37,40,4,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,12,5,7,12,3,10193214.0,5096607.0,0,0,0,0,0,0,0,500,3,750,4,1000,1,1250,1,50,338,75,177,100,69,125,63,6,4533,9,2765,12,907,15,876
4,2020-11-18,2020,11,18,['4   7   9   14   15   18'],4   7   9   14   15   18,"[""'4'"", ""'7'"", ""'9'"", ""'14'"", ""'15'"", ""'18'""]",4,7,9,14,15,18,4,7,9,14,15,18,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,2,5,1,3,9889874.0,4944937.0,0,0,0,0,0,0,0,500,11,750,3,1000,3,1250,1,50,344,75,192,100,66,125,68,6,4844,9,2821,12,895,15,966
5,2020-11-14,2020,11,14,['3   8   10   16   25   27'],3   8   10   16   25   27,"[""'3'"", ""'8'"", ""'10'"", ""'16'"", ""'25'"", ""'27'""]",3,8,10,16,25,27,3,8,10,16,25,27,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,5,2,6,9,2,9608366.0,4804183.0,0,0,0,0,0,0,0,500,8,750,5,1000,2,1250,3,50,332,75,198,100,83,125,61,6,4628,9,2769,12,965,15,978
6,2020-11-11,2020,11,11,['2   9   12   26   32   34'],2   9   12   26   32   34,"[""'2'"", ""'9'"", ""'12'"", ""'26'"", ""'32'"", ""'34'""]",2,9,12,26,32,34,2,9,12,26,32,34,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,7,3,14,6,2,9327474.0,4663737.0,0,0,0,0,0,0,0,500,7,750,7,1000,2,1250,3,50,304,75,177,100,61,125,63,6,4270,9,2486,12,929,15,818
7,2020-11-07,2020,11,07,['3   9   17   28   33   35'],3   9   17   28   33   35,"[""'3'"", ""'9'"", ""'17'"", ""'28'"", ""'33'"", ""'35'""]",3,9,17,28,33,35,3,9,17,28,33,35,5,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,6,8,11,5,2,9053158.0,4526579.0,0,0,0,0,0,0,0,500,8,750,5,1000,1,1250,0,50,316,75,194,100,71,125,67,6,4544,9,2726,12,915,15,942
8,2020-11-04,2020,11,04,['20   21   28   32   33   35'],20   21   28   32   33   35,"[""'20'"", ""'21'"", ""'28'"", ""'32'"", ""'33'"", ""'35'""]",20,21,28,32,33,35,20,21,28,32,33,35,3,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,7,4,1,2,8771835.0,4385917.0,0,0,0,0,0,0,0,500,10,750,6,1000,4,1250,0,50,271,75,166,100,58,125,52,6,4023,9,2312,12,765,15,771
9,2020-10-31,2020,10,31,['2   6   20   24   26   32'],2   6   20   24   26   32,"[""'2'"", ""'6'"", ""'20'"", ""'24'"", ""'26'"", ""'32'""]",2,6,20,24,26,32,2,6,20,24,26,32,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,4,14,4,2,6,8508407.0,4254203.0,0,0,0,0,0,0,0,500,6,750,7,1000,0,1250,4,50,313,75,167,100,67,125,53,6,4110,9,2459,12,863,15,857
