last_time_drawn,ball,times_drawn_excluding_plus,times_drawn_in_plus,last_time_drawn_in_plus,ball_int,year,month,day
2020-11-28,1,452,18,2020-12-02,1,2020,11,28
2020-11-11,2,479,14,2020-11-11,2,2020,11,11
2020-11-25,3,481,23,2020-11-18,3,2020,11,25
2020-11-18,4,467,17,2020-10-28,4,2020,11,18
2020-11-28,5,462,19,2020-09-30,5,2020,11,28
2020-10-31,6,414,26,2020-12-02,6,2020,10,31
2020-11-18,7,478,26,2020-12-02,7,2020,11,18
2020-11-14,8,427,20,2020-11-18,8,2020,11,14
2020-11-18,9,482,17,2020-11-11,9,2020,11,18
2020-11-14,10,489,22,2020-10-24,10,2020,11,14
2020-08-15,11,480,14,2020-11-14,11,2020,8,15
2020-11-11,12,463,12,2020-10-07,12,2020,11,11
2020-11-21,13,454,20,2020-11-14,13,2020,11,21
2020-11-18,14,482,21,2020-11-28,14,2020,11,18
2020-11-18,15,466,20,2020-11-18,15,2020,11,18
2020-11-14,16,466,15,2020-11-25,16,2020,11,14
2020-11-07,17,496,19,2020-12-02,17,2020,11,7
2020-11-21,18,491,18,2020-11-25,18,2020,11,21
2020-10-21,19,469,15,2020-11-25,19,2020,10,21
2020-11-04,20,464,20,2020-11-18,20,2020,11,4
2020-11-25,21,471,14,2020-08-12,21,2020,11,25
2020-12-02,22,462,22,2020-11-21,22,2020,12,2
2020-11-28,23,466,20,2020-10-31,23,2020,11,28
2020-10-31,24,450,14,2020-11-04,24,2020,10,31
2020-11-28,25,476,22,2020-11-21,25,2020,11,28
2020-11-11,26,451,27,2020-11-28,26,2020,11,11
2020-12-02,27,449,19,2020-11-21,27,2020,12,2
2020-12-02,28,436,20,2020-10-21,28,2020,12,2
2020-12-02,29,486,21,2020-10-28,29,2020,12,2
2020-11-25,30,472,17,2020-11-07,30,2020,11,25
2020-10-14,31,439,13,2020-12-02,31,2020,10,14
2020-11-11,32,432,22,2020-12-02,32,2020,11,11
2020-12-02,33,494,17,2020-10-10,33,2020,12,2
2020-11-11,34,506,24,2020-11-18,34,2020,11,11
2020-11-07,35,437,18,2020-11-28,35,2020,11,7
2020-12-02,36,471,19,2020-11-14,36,2020,12,2
2020-11-25,37,460,14,2020-11-14,37,2020,11,25
2020-10-17,38,456,17,2020-11-04,38,2020,10,17
2020-10-28,39,453,9,2020-11-28,39,2020,10,28
2020-11-28,40,456,19,2020-11-28,40,2020,11,28
2019-09-18,41,418,0,,41,2019,9,18
2019-09-11,42,431,0,,42,2019,9,11
