Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Colorado Lotto+,7-ELEVEN #13157A,7270 BROADWAY,DENVER,80221,1,"$1,434"
Colorado Lotto+,7-ELEVEN #13197A,1645 E 17TH AVE,DENVER,80218,1,"$2,561"
Colorado Lotto+,7-ELEVEN #13213A,567 E LOUISIANA,DENVER,80210,1,"$1,375"
Colorado Lotto+,7-ELEVEN #16068A,2641 S ESTES,LAKEWOOD,80227,1,"$1,250"
Colorado Lotto+,7-ELEVEN #16094A,1120 S PARKER RD,DENVER,80231,1,"$983,380"
Colorado Lotto+,7-ELEVEN #16147B,2609 FEDERAL BLVD,DENVER,80211,1,"$1,013"
Colorado Lotto+,7-ELEVEN #17134B,9200 W ALAMEDA,LAKEWOOD,80226,2,"$4,957,672"
Colorado Lotto+,7-ELEVEN #17596C,10722 E ALAMEDA,AURORA,80012,1,"$1,022"
Colorado Lotto+,7-ELEVEN #18397A,10010 E GIRARD,DENVER,80231,1,"$1,032"
Colorado Lotto+,7-ELEVEN #18409A,16080 E COLFAX,AURORA,80011,2,"$2,000"
Colorado Lotto+,7-ELEVEN #18497A,5010 KIPLING ST,WHEAT RIDGE,80033,1,"$1,049"
Colorado Lotto+,7-ELEVEN #18576B,3901 E 112TH AVE UNIT F,THORNTON,80233,1,"$1,500"
Colorado Lotto+,7-ELEVEN #18589,511 AGATE AVE,GRANBY,80446,1,"$1,258"
Colorado Lotto+,7-ELEVEN #18724A,104 E 18TH ST,GREELEY,80631,1,"$1,500"
Colorado Lotto+,7-ELEVEN #18730A,3177 E COLFAX,DENVER,80206,1,"$1,138"
Colorado Lotto+,7-ELEVEN #19585S,235 W 7TH AVE,WALSENBURG,81089,1,"$1,000"
Colorado Lotto+,7-ELEVEN #20308B,283 HWY 105,MONUMENT,80132,1,"$1,647,368"
Colorado Lotto+,7-ELEVEN #21242A,6515 S DAYTON,ENGLEWOOD,80111,2,"$2,222"
Colorado Lotto+,7-ELEVEN #21493A,15553 E MISSISSIPPI AVE,AURORA,80017,1,"$1,097"
Colorado Lotto+,7-ELEVEN #21899,5195 W BYRON PL,DENVER,80212,2,"$2,904"
Colorado Lotto+,7-ELEVEN #21938A,4085 E MISSISSIPPI AVENUE,DENVER,80246,2,"$3,701,692"
Colorado Lotto+,7-ELEVEN #22059B,525 N UNION,COLORADO SPRINGS,80909,1,"$1,032"
Colorado Lotto+,7-ELEVEN #22088A BCP WILLS,1329 MAIN ST,CARBONDALE,81623,1,"$1,000"
Colorado Lotto+,7-ELEVEN #22233B,1240 E FILLMORE,COLORADO SPRINGS,80907,1,"$2,602,562"
Colorado Lotto+,7-ELEVEN #22562 A,1801 S NEVADA AVE,COLORADO SPRINGS,80905,1,"$663,486"
Colorado Lotto+,7-ELEVEN #23546B,1402 HARRISON RD,COLORADO SPRINGS,80905,1,"$1,013"
Colorado Lotto+,7-ELEVEN #23905B,1000 E COLFAX,DENVER,80218,1,"$1,500"
Colorado Lotto+,7-ELEVEN #24079B,8250 W COAL MINE AVE,LITTLETON,80123,1,"$1,132"
Colorado Lotto+,7-ELEVEN #24438A,995 N CIRCLE,COLORADO SPRINGS,80909,1,"$1,115"
Colorado Lotto+,7-ELEVEN #24460B,510 SECURITY BLVD,COLORADO SPRINGS,80911,1,"$1,000"
Colorado Lotto+,7-ELEVEN #24627A,580 JOSEPHINE,DENVER,80206,1,"$1,489"
Colorado Lotto+,7-ELEVEN #25069A,4708 WASHINGTON ST,DENVER,80216,1,"$1,401"
Colorado Lotto+,7-ELEVEN #25265A,201 W FILLMORE,COLORADO SPRINGS,80907,1,"$1,500"
Colorado Lotto+,7-ELEVEN #25325B,12057 PECOS ST,WESTMINSTER,80234,2,"$2,442"
Colorado Lotto+,7-ELEVEN #25582A,1103 YOSEMITE,DENVER,80220,1,"$1,920"
Colorado Lotto+,7-ELEVEN #26295J,1426 N ACADEMY,COLORADO SPRINGS,80909,1,"$1,404"
Colorado Lotto+,7-ELEVEN #26574A,13190 E MISSISSIPPI,AURORA,80012,2,"$2,465"
Colorado Lotto+,7-ELEVEN #26692A,5805 PALMER PARK BLVD,COLORADO SPRINGS,80915,1,"$1,434"
Colorado Lotto+,7-ELEVEN #27033B,5595 S BROADWAY,LITTLETON,80121,1,"$1,216"
Colorado Lotto+,7-ELEVEN #27213B,16601 E SMOKEY HILL RD,AURORA,80015,1,"$1,250"
Colorado Lotto+,7-ELEVEN #27429C,1850 S SHERIDAN,LAKEWOOD,80232,1,"$1,216"
Colorado Lotto+,7-ELEVEN #29314A,10410 MELODY DR,NORTHGLENN,80234,2,"$2,494"
Colorado Lotto+,7-ELEVEN #32159C,623 W GARDEN OF GODS RD,COLORADO SPRINGS,80907,1,"$1,361,411"
Colorado Lotto+,7-ELEVEN #32673A,1446 N 95TH,LAFAYETTE,80026,1,"$1,250"
Colorado Lotto+,7-ELEVEN #32747C,6025 CONSTITUTION AVE,COLORADO SPRINGS,80915,1,"$5,039"
Colorado Lotto+,7-ELEVEN #32810A,4500 PEORIA ST,DENVER,80239,1,"$1,137"
Colorado Lotto+,7-ELEVEN #32923A,16981 E LINCOLN AVE,PARKER,80134,3,"$6,049,185"
Colorado Lotto+,7-ELEVEN #33044A,14250 E ILIFF AVE,AURORA,80014,2,"$2,556"
Colorado Lotto+,7-ELEVEN #33710H,6040 BARNES ROAD,COLORADO SPRINGS,80922,1,"$1,058"
Colorado Lotto+,7-ELEVEN #34058A,2434 BRIARGATE PKWY,COLORADO SPRINGS,80920,2,"$2,556"
Colorado Lotto+,7-ELEVEN #34131A,19390 E QUINCY AVE,AURORA,80015,2,"$2,428"
Colorado Lotto+,7-ELEVEN #34181B,21405 E QUINCY AVE,AURORA,80015,1,"$1,007"
Colorado Lotto+,7-ELEVEN #34238H,50 TELEP AVE,JOHNSTOWN,80534,1,"$2,350"
Colorado Lotto+,7-ELEVEN #34316A,6150 E US HWY 34,JOHNSTOWN,80534,3,"$5,978,145"
Colorado Lotto+,7-ELEVEN #34330B,3810 N FEDERAL BLVD,DENVER,80211,1,"$1,000"
Colorado Lotto+,7-ELEVEN #34342B,1975 E COLFAX AVE,DENVER,80206,1,"$1,066"
Colorado Lotto+,7-ELEVEN #34441A,13697 E ILIFF AVE #1,AURORA,80014,1,"$1,250"
Colorado Lotto+,7-ELEVEN #34486B,3099 W MINERAL AVE,LITTLETON,80120,1,"$1,000"
Colorado Lotto+,7-ELEVEN #35053A,3992 HAVANA STREET,DENVER,80239,1,"$2,350"
Colorado Lotto+,7-ELEVEN #35337A,2825 BRIARGATE BLVD,COLORADO SPRINGS,80920,1,"$1,250"
Colorado Lotto+,7-ELEVEN #35610A,7692 BARNES ROAD,COLORADO SPRINGS,80922,1,"$1,101"
Colorado Lotto+,7-ELEVEN #35622,6630 S YOSEMITE ST,GREENWOOD VILLAGE,80111,1,"$1,442,050"
Colorado Lotto+,7-ELEVEN #35717A,6400 E. CROSSROADS BLVD,LOVELAND,80538,1,"$1,250"
Colorado Lotto+,7-ELEVEN #35995B,1600 E EVANS AVENUE,DENVER,80210,1,"$1,692"
Colorado Lotto+,7-ELEVEN #36013A,12060 E 120TH AVENUE,HENDERSON,80640,1,"$1,095"
Colorado Lotto+,7-ELEVEN #36464B,8111 TOWER ROAD,COMMERCE CITY,80022,2,"$2,250"
Colorado Lotto+,7-ELEVEN #36714B,2650 NORTHGATE BLVD,COLORADO SPRINGS,80921,1,"$1,000"
Colorado Lotto+,7-ELEVEN #36764A,8090 MERIDIAN ROAD,PEYTON,80831,1,"$1,250"
Colorado Lotto+,7-ELEVEN #37220A,5601 E 136TH AVE,THORNTON,80602,1,"$1,000"
Colorado Lotto+,7-ELEVEN #38130A,2880 S CIRCLE DR,COLORADO SPRINGS,80906,1,"$1,000"
Colorado Lotto+,7-ELEVEN #39062A,3190 W 38TH AVENUE,DENVER,80211,1,"$1,088"
Colorado Lotto+,7-ELEVEN #39067A BCP S&S FUEL,12358 S PARKER RD,PARKER,80134,1,"$2,524,311"
Colorado Lotto+,7-ELEVEN #39296D,8820 COLORADO BLVD,THORNTON,80229,1,"$1,378,308"
Colorado Lotto+,7-ELEVEN #39339 BCP EL PASO CO,1810 MAIN STREET,SECURITY,80911,1,"$1,250"
Colorado Lotto+,7-ELEVEN #39501A BCP TWIN STAR,10815 W JEWELL AVE,DENVER,80232,1,"$1,220"
Colorado Lotto+,7-ELEVEN #39519B,7486 WESTGATE DRIVE,WINDSOR,80528,1,"$1,133"
Colorado Lotto+,7-ELEVEN #39729A BCP TWINSTAR,2299 S HAVANA STREET,AURORA,80014,1,"$250,000"
Colorado Lotto+,80TH AVE LIQUORS,6933 E 80TH AVE,COMMERCE CITY,80022,1,"$2,693,489"
Colorado Lotto+,A-B PETROLEUM #23,2601 S LEWIS WY,LAKEWOOD,80227,1,"$1,000"
Colorado Lotto+,A-B PETROLEUM #32,400 E 104TH AVE,THORNTON,80233,1,"$4,135,282"
Colorado Lotto+,ALAMEDA LIQUOR MART,"9660 E ALAMEDA AVE
STE 103",DENVER,80247,1,"$1,500"
Colorado Lotto+,ALBERTSONS #801,311 W COLLEGE DR,DURANGO,81301,2,"$1,544,448"
Colorado Lotto+,ALL AMERICAN GAS PLUS,10580 HURON ST,NORTHGLENN,80234,1,"$2,075"
Colorado Lotto+,ALL PRO LIQUOR,2913 F ROAD #104,GRAND JUNCTION,81504,1,"$1,220"
Colorado Lotto+,ALTA CONVENIENCE #3103,623 GRAND AVE,PUEBLO,81003,1,"$1,200"
Colorado Lotto+,ALTA CONVENIENCE #3113,723 S PUEBLO BLVD,PUEBLO,81005,2,"$3,160"
Colorado Lotto+,ALTA CONVENIENCE #3701,337 W 1ST STREET,SALIDA,81201,1,"$1,000"
Colorado Lotto+,ALTA CONVENIENCE #3850,821 W TOMICHI AVE,GUNNISON,81230,1,"$1,000"
Colorado Lotto+,ALTA CONVENIENCE #6008,5050 BOARDWALK DR,COLORADO SPRINGS,80919,1,"$1,250"
Colorado Lotto+,ALTA CONVENIENCE #6011,11614 W BELLEVIEW #A,LITTLETON,80127,1,"$1,984"
Colorado Lotto+,ALTA CONVENIENCE #6101,2105 W COLORADO AVE,COLORADO SPRINGS,80904,1,"$1,070"
Colorado Lotto+,ALTA CONVENIENCE #6144,"1370 S PARKER RD
UNIT B",DENVER,80231,1,"$1,000"
Colorado Lotto+,AMPRIDE,913 COLORADO AVE,STRATTON,80836,1,"$1,000"
Colorado Lotto+,ANDY'S LIQUOR MART,922 N 1ST ST,GRAND JUNCTION,81501,1,"$1,000"
Colorado Lotto+,AS & DC CONOCO,16920 E QUINCY AVE,AURORA,80015,1,"$1,097"
Colorado Lotto+,ATHMAR MART,1789 W MISSISSIPPI AVE,DENVER,80223,1,"$1,250"
Colorado Lotto+,AVON LIQUOR,100 W BEAVER CREEK BLVD,AVON,81620,1,"$3,345,352"
Colorado Lotto+,A-Z CONVENIENCE,"16070 E DARTMOUTH AVE
STE 12",AURORA,80013,1,"$1,200"
Colorado Lotto+,BASA CONOCO,931 S KIPLING PKWY,LAKEWOOD,80226,1,"$1,306"
Colorado Lotto+,BEEMAN'S GAS & GROCERY,"5587 N US HIGHWAY 85
UNIT 213",SEDALIA,80135,1,"$1,200"
Colorado Lotto+,BILLY'S CASINO,233 E BENNETT AVE,CRIPPLE CREEK,80813,1,"$3,589,101"
Colorado Lotto+,BOOKCLIFF LIQUORS,3026 F ROAD,GRAND JUNCTION,81504,1,"$1,346,372"
Colorado Lotto+,BORDERLINE #1,68947 US HWY 85,CARR,80612,4,"$5,192"
