,store,address,city,zip,number_of_winners_sold,total_amount_won
0,7-ELEVEN #13157A,7270 BROADWAY,DENVER,80221,1,1434
1,7-ELEVEN #13197A,1645 E 17TH AVE,DENVER,80218,1,2561
2,7-ELEVEN #13213A,567 E LOUISIANA,DENVER,80210,1,1375
3,7-ELEVEN #16068A,2641 S ESTES,LAKEWOOD,80227,1,1250
4,7-ELEVEN #16094A,1120 S PARKER RD,DENVER,80231,1,983380
5,7-ELEVEN #16147B,2609 FEDERAL BLVD,DENVER,80211,1,1013
6,7-ELEVEN #17134B,9200 W ALAMEDA,LAKEWOOD,80226,2,4957672
7,7-ELEVEN #17596C,10722 E ALAMEDA,AURORA,80012,1,1022
8,7-ELEVEN #18397A,10010 E GIRARD,DENVER,80231,1,1032
9,7-ELEVEN #18409A,16080 E COLFAX,AURORA,80011,2,2000
10,7-ELEVEN #18497A,5010 KIPLING ST,WHEAT RIDGE,80033,1,1049
11,7-ELEVEN #18576B,3901 E 112TH AVE UNIT F,THORNTON,80233,1,1500
12,7-ELEVEN #18589,511 AGATE AVE,GRANBY,80446,1,1258
13,7-ELEVEN #18724A,104 E 18TH ST,GREELEY,80631,1,1500
14,7-ELEVEN #18730A,3177 E COLFAX,DENVER,80206,1,1138
15,7-ELEVEN #19585S,235 W 7TH AVE,WALSENBURG,81089,1,1000
16,7-ELEVEN #20308B,283 HWY 105,MONUMENT,80132,1,1647368
17,7-ELEVEN #21242A,6515 S DAYTON,ENGLEWOOD,80111,2,2222
18,7-ELEVEN #21493A,15553 E MISSISSIPPI AVE,AURORA,80017,1,1097
19,7-ELEVEN #21899,5195 W BYRON PL,DENVER,80212,2,2904
20,7-ELEVEN #21938A,4085 E MISSISSIPPI AVENUE,DENVER,80246,2,3701692
21,7-ELEVEN #22059B,525 N UNION,COLORADO SPRINGS,80909,1,1032
22,7-ELEVEN #22088A BCP WILLS,1329 MAIN ST,CARBONDALE,81623,1,1000
23,7-ELEVEN #22233B,1240 E FILLMORE,COLORADO SPRINGS,80907,1,2602562
24,7-ELEVEN #22562 A,1801 S NEVADA AVE,COLORADO SPRINGS,80905,1,663486
25,7-ELEVEN #23546B,1402 HARRISON RD,COLORADO SPRINGS,80905,1,1013
26,7-ELEVEN #23905B,1000 E COLFAX,DENVER,80218,1,1500
27,7-ELEVEN #24079B,8250 W COAL MINE AVE,LITTLETON,80123,1,1132
28,7-ELEVEN #24438A,995 N CIRCLE,COLORADO SPRINGS,80909,1,1115
29,7-ELEVEN #24460B,510 SECURITY BLVD,COLORADO SPRINGS,80911,1,1000
30,7-ELEVEN #24627A,580 JOSEPHINE,DENVER,80206,1,1489
31,7-ELEVEN #25069A,4708 WASHINGTON ST,DENVER,80216,1,1401
32,7-ELEVEN #25265A,201 W FILLMORE,COLORADO SPRINGS,80907,1,1500
33,7-ELEVEN #25325B,12057 PECOS ST,WESTMINSTER,80234,2,2442
34,7-ELEVEN #25582A,1103 YOSEMITE,DENVER,80220,1,1920
35,7-ELEVEN #26295J,1426 N ACADEMY,COLORADO SPRINGS,80909,1,1404
36,7-ELEVEN #26574A,13190 E MISSISSIPPI,AURORA,80012,2,2465
37,7-ELEVEN #26692A,5805 PALMER PARK BLVD,COLORADO SPRINGS,80915,1,1434
38,7-ELEVEN #27033B,5595 S BROADWAY,LITTLETON,80121,1,1216
39,7-ELEVEN #27213B,16601 E SMOKEY HILL RD,AURORA,80015,1,1250
40,7-ELEVEN #27429C,1850 S SHERIDAN,LAKEWOOD,80232,1,1216
41,7-ELEVEN #29314A,10410 MELODY DR,NORTHGLENN,80234,2,2494
42,7-ELEVEN #32159C,623 W GARDEN OF GODS RD,COLORADO SPRINGS,80907,1,1361411
43,7-ELEVEN #32673A,1446 N 95TH,LAFAYETTE,80026,1,1250
44,7-ELEVEN #32747C,6025 CONSTITUTION AVE,COLORADO SPRINGS,80915,1,5039
45,7-ELEVEN #32810A,4500 PEORIA ST,DENVER,80239,1,1137
46,7-ELEVEN #32923A,16981 E LINCOLN AVE,PARKER,80134,3,6049185
47,7-ELEVEN #33044A,14250 E ILIFF AVE,AURORA,80014,2,2556
48,7-ELEVEN #33710H,6040 BARNES ROAD,COLORADO SPRINGS,80922,1,1058
49,7-ELEVEN #34058A,2434 BRIARGATE PKWY,COLORADO SPRINGS,80920,2,2556
50,7-ELEVEN #34131A,19390 E QUINCY AVE,AURORA,80015,2,2428
51,7-ELEVEN #34181B,21405 E QUINCY AVE,AURORA,80015,1,1007
52,7-ELEVEN #34238H,50 TELEP AVE,JOHNSTOWN,80534,1,2350
53,7-ELEVEN #34316A,6150 E US HWY 34,JOHNSTOWN,80534,3,5978145
54,7-ELEVEN #34330B,3810 N FEDERAL BLVD,DENVER,80211,1,1000
55,7-ELEVEN #34342B,1975 E COLFAX AVE,DENVER,80206,1,1066
56,7-ELEVEN #34441A,13697 E ILIFF AVE #1,AURORA,80014,1,1250
57,7-ELEVEN #34486B,3099 W MINERAL AVE,LITTLETON,80120,1,1000
58,7-ELEVEN #35053A,3992 HAVANA STREET,DENVER,80239,1,2350
59,7-ELEVEN #35337A,2825 BRIARGATE BLVD,COLORADO SPRINGS,80920,1,1250
60,7-ELEVEN #35610A,7692 BARNES ROAD,COLORADO SPRINGS,80922,1,1101
61,7-ELEVEN #35622,6630 S YOSEMITE ST,GREENWOOD VILLAGE,80111,1,1442050
62,7-ELEVEN #35717A,6400 E. CROSSROADS BLVD,LOVELAND,80538,1,1250
63,7-ELEVEN #35995B,1600 E EVANS AVENUE,DENVER,80210,1,1692
64,7-ELEVEN #36013A,12060 E 120TH AVENUE,HENDERSON,80640,1,1095
65,7-ELEVEN #36464B,8111 TOWER ROAD,COMMERCE CITY,80022,2,2250
66,7-ELEVEN #36714B,2650 NORTHGATE BLVD,COLORADO SPRINGS,80921,1,1000
67,7-ELEVEN #36764A,8090 MERIDIAN ROAD,PEYTON,80831,1,1250
68,7-ELEVEN #37220A,5601 E 136TH AVE,THORNTON,80602,1,1000
69,7-ELEVEN #38130A,2880 S CIRCLE DR,COLORADO SPRINGS,80906,1,1000
70,7-ELEVEN #39062A,3190 W 38TH AVENUE,DENVER,80211,1,1088
71,7-ELEVEN #39067A BCP S&S FUEL,12358 S PARKER RD,PARKER,80134,1,2524311
72,7-ELEVEN #39296D,8820 COLORADO BLVD,THORNTON,80229,1,1378308
73,7-ELEVEN #39339 BCP EL PASO CO,1810 MAIN STREET,SECURITY,80911,1,1250
74,7-ELEVEN #39501A BCP TWIN STAR,10815 W JEWELL AVE,DENVER,80232,1,1220
75,7-ELEVEN #39519B,7486 WESTGATE DRIVE,WINDSOR,80528,1,1133
