Draw date,Last Day To Claim,Winning Numbers,Megaball,Megaplier,Jackpot,Jackpot Cash Value,Jackpot Winners,Jackpot CO Winners,Match 5 Prize,Match 5 CO Winners,Match 5 Prize (with Megaplier),Match 5 CO Winners (with Megaplier),Match 4 + Megaball Prize,Match 4 + Megaball CO Winners,Match 4 + Megaball Prize (with Megaplier),Match 4 + Megaball CO Winners (with Megaplier),Match 4 Prize,Match 4 CO Winners,Match 4 Prize (with Megaplier),Match 4 CO Winners (with Megaplier),Match 3 + Megaball Prize,Match 3 + Megaball CO Winners,Match 3 + Megaball Prize (with Megaplier),Match 3 + Megaball CO Winners (with Megaplier),Match 3 Prize,Match 3 CO Winners,Match 3 Prize (with Megaplier),Match 3 CO Winners (with Megaplier),Match 2 + Megaball Prize,Match 2 + Megaball CO Winners,Match 2 + Megaball Prize (with Megaplier),Match 2 + Megaball CO Winners (with Megaplier),Match 1 + Megaball Prize,Match 1 + Megaball CO Winners,Match 1 + Megaball Prize (with Megaplier),Match 1 + Megaball CO Winners (with Megaplier),Match 0 + Megaball Prize,Match 0 + Megaball CO Winners,Match 0 + Megaball Prize (with Megaplier),Match 0 + Megaball CO Winners (with Megaplier)
"Oct. 27, 2020",04/25/2021,6 - 13 - 34 - 46 - 62,1,3,"$109,000,000","$83,200,000",0,0,"$1,000,000",0,"$3,000,000",0,"$10,000",0,"$30,000",0,$500,1,"$1,500",3,$200,3,$600,4,$10,103,$30,78,$10,87,$30,72,$4,741,$12,583,$2,1612,$6,1470
"Oct. 23, 2020",04/21/2021,18 - 34 - 44 - 60 - 69,22,2,"$97,000,000","$75,100,000",0,0,"$1,000,000",0,"$2,000,000",0,"$10,000",0,"$20,000",0,$500,1,"$1,000",0,$200,5,$400,3,$10,96,$20,81,$10,74,$20,69,$4,632,$8,542,$2,1615,$4,1466
"Oct. 20, 2020",04/18/2021,46 - 54 - 57 - 58 - 66,10,3,"$86,000,000","$67,300,000",0,0,"$1,000,000",0,"$3,000,000",0,"$10,000",0,"$30,000",0,$500,2,"$1,500",2,$200,2,$600,2,$10,91,$30,74,$10,89,$30,86,$4,674,$12,589,$2,1788,$6,1684
"Oct. 16, 2020",04/14/2021,27 - 32 - 50 - 52 - 57,12,5,"$77,000,000","$60,100,000",0,0,"$1,000,000",0,"$5,000,000",0,"$10,000",0,"$50,000",0,$500,1,"$2,500",0,$200,1,"$1,000",2,$10,79,$50,72,$10,77,$50,76,$4,617,$20,555,$2,1633,$10,1455
"Oct. 13, 2020",04/11/2021,11 - 44 - 45 - 46 - 70,25,2,"$69,000,000","$53,400,000",0,0,"$1,000,000",0,"$2,000,000",0,"$10,000",0,"$20,000",0,$500,0,"$1,000",4,$200,7,$400,3,$10,97,$20,94,$10,65,$20,67,$4,624,$8,548,$2,1479,$4,1331
"Oct. 9, 2020",04/07/2021,5 - 11 - 25 - 27 - 64,13,2,"$60,000,000","$46,400,000",0,0,"$1,000,000",0,"$2,000,000",0,"$10,000",0,"$20,000",0,$500,1,"$1,000",2,$200,4,$400,5,$10,119,$20,121,$10,121,$20,110,$4,706,$8,644,$2,1486,$4,1423
"Oct. 6, 2020",04/04/2021,15 - 16 - 18 - 39 - 59,17,3,"$50,000,000","$39,300,000",0,0,"$1,000,000",0,"$3,000,000",0,"$10,000",0,"$30,000",0,$500,1,"$1,500",2,$200,3,$600,2,$10,89,$30,78,$10,85,$30,67,$4,593,$12,559,$2,1430,$6,1375
"Oct. 2, 2020",03/31/2021,9 - 38 - 47 - 49 - 68,25,2,"$41,000,000","$32,500,000",0,0,"$1,000,000",0,"$2,000,000",0,"$10,000",0,"$20,000",0,$500,0,"$1,000",0,$200,2,$400,8,$10,76,$20,54,$10,47,$20,62,$4,525,$8,483,$2,1226,$4,1198
"Sept. 29, 2020",03/28/2021,14 - 39 - 43 - 44 - 67,19,3,"$32,000,000","$25,500,000",0,0,"$1,000,000",0,"$3,000,000",0,"$10,000",0,"$30,000",0,$500,3,"$1,500",2,$200,3,$600,2,$10,82,$30,61,$10,80,$30,73,$4,487,$12,478,$2,1303,$6,1230
"Sept. 25, 2020",03/24/2021,20 - 36 - 37 - 48 - 67,16,2,"$24,000,000","$19,000,000",0,0,"$1,000,000",0,"$2,000,000",0,"$10,000",0,"$20,000",0,$500,1,"$1,000",0,$200,2,$400,0,$10,66,$20,70,$10,53,$20,52,$4,450,$8,441,$2,1216,$4,1134
