Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Mega Millions,16TH STREET PLAZA,1607 2ND AVE,GREELEY,80631,1,"$1,000"
Mega Millions,7-ELEVEN #13082B,310 W UINTAH ST,COLORADO SPRINGS,80905,2,"$3,500"
Mega Millions,7-ELEVEN #13093A,1760 SHASTA DR,COLORADO SPRINGS,80910,2,"$6,500"
Mega Millions,7-ELEVEN #13111S,2727 S PRAIRIE,PUEBLO,81005,2,"$3,500"
Mega Millions,7-ELEVEN #13128B,9101 W JEWELL,LAKEWOOD,80232,4,"$5,500"
Mega Millions,7-ELEVEN #13157A,7270 BROADWAY,DENVER,80221,1,"$1,000"
Mega Millions,7-ELEVEN #13195A,4040 E 8TH AVE,DENVER,80220,4,"$1,004,200"
Mega Millions,7-ELEVEN #13197A,1645 E 17TH AVE,DENVER,80218,1,"$2,000"
Mega Millions,7-ELEVEN #13198B,607 E ALAMEDA AVE,DENVER,80209,1,"$1,000"
Mega Millions,7-ELEVEN #13206B,3900 S BROADWAY,ENGLEWOOD,80113,2,"$3,500"
Mega Millions,7-ELEVEN #13209C,1090 OGDEN STREET,DENVER,80218,2,"$12,000"
Mega Millions,7-ELEVEN #13213A,567 E LOUISIANA,DENVER,80210,1,"$1,000"
Mega Millions,7-ELEVEN #15041A,311 W MAIN,STERLING,80751,2,"$2,500"
Mega Millions,7-ELEVEN #15203A,703 E PLATTE,FORT MORGAN,80701,1,"$1,500"
Mega Millions,7-ELEVEN #16068A,2641 S ESTES,LAKEWOOD,80227,1,"$2,500"
Mega Millions,7-ELEVEN #16094A,1120 S PARKER RD,DENVER,80231,3,"$13,000"
Mega Millions,7-ELEVEN #16593B,2500 W 38TH AVE,DENVER,80211,3,"$41,000"
Mega Millions,7-ELEVEN #17142A,2081 W EISENHOWER,LOVELAND,80537,1,"$2,000"
Mega Millions,7-ELEVEN #17299A,8390 W 14TH AVE,LAKEWOOD,80214,1,"$1,500"
Mega Millions,7-ELEVEN #17596C,10722 E ALAMEDA,AURORA,80012,2,"$45,000"
Mega Millions,7-ELEVEN #18449A,2790 S WADSWORTH,DENVER,80227,1,"$2,500"
Mega Millions,7-ELEVEN #18556A,8801 HURON ST,THORNTON,80260,1,"$1,000"
Mega Millions,7-ELEVEN #18589,511 AGATE AVE,GRANBY,80446,1,"$1,500"
Mega Millions,7-ELEVEN #18999A,3877 ASTROZON BLVD,COLORADO SPRINGS,80916,1,"$1,000"
Mega Millions,7-ELEVEN #19169S,926 LAKE AVE,PUEBLO,81004,1,"$1,500"
Mega Millions,7-ELEVEN #19570A,402 W 3RD STREET,WRAY,80758,1,"$10,000"
Mega Millions,7-ELEVEN #20182A,1499 W LITTLETON,LITTLETON,80120,2,"$2,500"
Mega Millions,7-ELEVEN #21242A,6515 S DAYTON,ENGLEWOOD,80111,1,"$1,000"
Mega Millions,7-ELEVEN #21493A,15553 E MISSISSIPPI AVE,AURORA,80017,1,"$1,000"
Mega Millions,7-ELEVEN #21967J,1475 'B' STREET,COLORADO SPRINGS,80906,1,"$2,500"
Mega Millions,7-ELEVEN #22021B BCP WILLS,23250 2 RIVERS RD,BASALT,81621,1,"$1,500"
Mega Millions,7-ELEVEN #22059B,525 N UNION,COLORADO SPRINGS,80909,1,"$2,500"
Mega Millions,7-ELEVEN #22063A,11599 W COLFAX,LAKEWOOD,80215,1,"$1,500"
Mega Millions,7-ELEVEN #22358A,1438 ARAPAHOE ST,DENVER,80202,1,"$10,000"
