Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Pick 3,10TH MARKET PL INC,4751 W 10TH ST,GREELEY,80634,3,"$1,370"
Pick 3,12TH AVENUE MARKET & DELI,2620 E 12TH AVE,DENVER,80206,339,"$174,750"
Pick 3,1741 B STREET LIQUORS,1741 B STREET,COLORADO SPRINGS,80906,37,"$9,370"
Pick 3,1ST STOP GAS & FOOD MART,605 GARRISON STREET,LAKEWOOD,80215,3,"$2,160"
Pick 3,23RD AVENUE LIQUORS,3210 23RD AVE,EVANS,80620,18,"$9,000"
Pick 3,34 LIQUORS,1205 E EISENHOWER BLVD,LOVELAND,80537,28,"$9,370"
Pick 3,37 LIQUORS,3603 23RD AVE,EVANS,80620,5,"$2,500"
Pick 3,52 LIQUOR,901 CARBONDALE DR,DACONO,80514,1,$290
Pick 3,54TH MARKET PL INC,1005 54TH AVE,GREELEY,80634,3,"$1,150"
Pick 3,7-2-11,435 GODDARD AVENUE,IGNACIO,81137,5,"$1,820"
Pick 3,74 XPRESS,325 W 4TH AVE,WINDSOR,80550,34,"$13,670"
Pick 3,7 CORNER'S MARKET,4619 E MISSISSIPPI AVE,GLENDALE,80246,6,"$1,870"
Pick 3,7-ELEVEN #13058A,312 MOUNTVIEW LN,COLORADO SPRINGS,80907,61,"$25,160"
Pick 3,7-ELEVEN #13071B,5 WIDEFIELD,COLORADO SPRINGS,80911,156,"$56,160"
Pick 3,7-ELEVEN #13079A,1011 S 21ST ST,COLORADO SPRINGS,80904,21,"$7,470"
Pick 3,7-ELEVEN #13082B,310 W UINTAH ST,COLORADO SPRINGS,80905,19,"$7,110"
Pick 3,7-ELEVEN #13093A,1760 SHASTA DR,COLORADO SPRINGS,80910,82,"$31,190"
Pick 3,7-ELEVEN #13111S,2727 S PRAIRIE,PUEBLO,81005,20,"$6,930"
Pick 3,7-ELEVEN #13128B,9101 W JEWELL,LAKEWOOD,80232,39,"$17,680"
Pick 3,7-ELEVEN #13140A,5405 MARSHALL,ARVADA,80002,39,"$14,910"
Pick 3,7-ELEVEN #13157A,7270 BROADWAY,DENVER,80221,14,"$5,530"
Pick 3,7-ELEVEN #13164A,2605 VALMONT RD,BOULDER,80304,10,"$3,020"
Pick 3,7-ELEVEN #13167A,7540 PECOS ST,DENVER,80221,15,"$6,750"
Pick 3,7-ELEVEN #13169A,1012 BRIDGE ST,BRIGHTON,80601,14,"$5,560"
Pick 3,7-ELEVEN #13171A,505 S SHIELDS,FORT COLLINS,80521,9,"$3,660"
Pick 3,7-ELEVEN #13184B,841 KEN PRATT BLVD,LONGMONT,80501,17,"$5,150"
Pick 3,7-ELEVEN #13185A,830 16TH ST,GREELEY,80631,4,"$1,830"
Pick 3,7-ELEVEN #13188B,11421 WASHINGTON,NORTHGLENN,80233,16,"$7,300"
Pick 3,7-ELEVEN #13194A,1107 SANTA FE DR,DENVER,80204,6,"$2,790"
Pick 3,7-ELEVEN #13195A,4040 E 8TH AVE,DENVER,80220,23,"$10,520"
Pick 3,7-ELEVEN #13197A,1645 E 17TH AVE,DENVER,80218,11,"$4,820"
Pick 3,7-ELEVEN #13198B,607 E ALAMEDA AVE,DENVER,80209,4,"$2,200"
Pick 3,7-ELEVEN #13203A,7675 E COLFAX AVE,DENVER,80220,40,"$15,980"
Pick 3,7-ELEVEN #13204C,10201 MONTVIEW BLVD,AURORA,80010,27,"$8,930"
Pick 3,7-ELEVEN #13206B,3900 S BROADWAY,ENGLEWOOD,80113,22,"$11,130"
Pick 3,7-ELEVEN #13209C,1090 OGDEN STREET,DENVER,80218,22,"$13,140"
Pick 3,7-ELEVEN #13213A,567 E LOUISIANA,DENVER,80210,12,"$5,150"
Pick 3,7-ELEVEN #15041A,311 W MAIN,STERLING,80751,10,"$3,190"
Pick 3,7-ELEVEN #15068A,331 S HANCOCK,COLORADO SPRINGS,80903,26,"$10,550"
Pick 3,7-ELEVEN #15203A,703 E PLATTE,FORT MORGAN,80701,8,"$2,570"
Pick 3,7-ELEVEN #15403J,1600 W 92ND AVE,DENVER,80260,1,$290
Pick 3,7-ELEVEN #15431A,603 W PLATTE AVE,FORT MORGAN,80701,9,"$3,850"
Pick 3,7-ELEVEN #15754A,4770 W COLFAX,DENVER,80204,21,"$9,610"
Pick 3,7-ELEVEN #15955A,620 EDISON,BRUSH,80723,3,"$1,330"
Pick 3,7-ELEVEN #16068A,2641 S ESTES,LAKEWOOD,80227,23,"$9,830"
Pick 3,7-ELEVEN #16094A,1120 S PARKER RD,DENVER,80231,28,"$9,320"
Pick 3,7-ELEVEN #16147B,2609 FEDERAL BLVD,DENVER,80211,19,"$7,270"
Pick 3,7-ELEVEN #16593B,2500 W 38TH AVE,DENVER,80211,30,"$11,490"
Pick 3,7-ELEVEN #16712S,1245 E EISENHOWER,LOVELAND,80537,6,"$2,040"
Pick 3,7-ELEVEN #17127S,905 W NORTHERN,PUEBLO,81004,8,"$2,690"
Pick 3,7-ELEVEN #17134B,9200 W ALAMEDA,LAKEWOOD,80226,70,"$27,600"
Pick 3,7-ELEVEN #17142A,2081 W EISENHOWER,LOVELAND,80537,7,"$2,140"
Pick 3,7-ELEVEN #17211A BCP WILLS,51315 HWY 6,GLENWOOD SPRINGS,81601,13,"$7,690"
Pick 3,7-ELEVEN #17284B,741 N SUMMIT,FRISCO,80443,3,"$1,660"
Pick 3,7-ELEVEN #17299A,8390 W 14TH AVE,LAKEWOOD,80214,20,"$7,390"
Pick 3,7-ELEVEN #17596C,10722 E ALAMEDA,AURORA,80012,45,"$15,610"
Pick 3,7-ELEVEN #18324A,801 S MAIN STREET,YUMA,80759,1,$300
Pick 3,7-ELEVEN #18397A,10010 E GIRARD,DENVER,80231,11,"$4,030"
Pick 3,7-ELEVEN #18409A,16080 E COLFAX,AURORA,80011,27,"$8,260"
Pick 3,7-ELEVEN #18418B,7355 RALSTON UNIT R100,ARVADA,80002,11,"$3,590"
Pick 3,7-ELEVEN #18449A,2790 S WADSWORTH,DENVER,80227,54,"$22,770"
Pick 3,7-ELEVEN #18497A,5010 KIPLING ST,WHEAT RIDGE,80033,15,"$5,630"
Pick 3,7-ELEVEN #18556A,8801 HURON ST,THORNTON,80260,10,"$3,600"
Pick 3,7-ELEVEN #18576B,3901 E 112TH AVE UNIT F,THORNTON,80233,15,"$6,510"
Pick 3,7-ELEVEN #18589,511 AGATE AVE,GRANBY,80446,2,$580
Pick 3,7-ELEVEN #18594A,8002 CHASE DR,ARVADA,80003,90,"$31,470"
Pick 3,7-ELEVEN #18630,7295 E 7TH AVE,DENVER,80220,15,"$7,810"
Pick 3,7-ELEVEN #18724A,104 E 18TH ST,GREELEY,80631,2,$580
Pick 3,7-ELEVEN #18730A,3177 E COLFAX,DENVER,80206,28,"$10,500"
Pick 3,7-ELEVEN #18999A,3877 ASTROZON BLVD,COLORADO SPRINGS,80916,58,"$22,540"
Pick 3,7-ELEVEN #19015B,4096 S FEDERAL,SHERIDAN,80110,9,"$3,530"
Pick 3,7-ELEVEN #19088A,1011 37TH ST,EVANS,80620,13,"$6,080"
Pick 3,7-ELEVEN #19136A,6490 WARD RD,ARVADA,80004,1,"$1,250"
Pick 3,7-ELEVEN #19169S,926 LAKE AVE,PUEBLO,81004,7,"$2,450"
Pick 3,7-ELEVEN #19585S,235 W 7TH AVE,WALSENBURG,81089,8,"$4,580"
Pick 3,7-ELEVEN #20104A,430 REMINGTON ST,FORT COLLINS,80524,9,"$3,980"
Pick 3,7-ELEVEN #20182A,1499 W LITTLETON,LITTLETON,80120,7,"$2,910"
Pick 3,7-ELEVEN #20308B,283 HWY 105,MONUMENT,80132,27,"$10,210"
Pick 3,7-ELEVEN #20343B,2407 N UNION,COLORADO SPRINGS,80909,24,"$8,250"
Pick 3,7-ELEVEN #20638J,804 E 4TH ST,PUEBLO,81001,6,"$2,330"
Pick 3,7-ELEVEN #21242A,6515 S DAYTON,ENGLEWOOD,80111,19,"$8,460"
Pick 3,7-ELEVEN #21493A,15553 E MISSISSIPPI AVE,AURORA,80017,54,"$19,920"
Pick 3,7-ELEVEN #21494B,3005 S PEORIA,AURORA,80014,61,"$22,600"
Pick 3,7-ELEVEN #21562A,1651 S BUCKLEY RD,AURORA,80017,57,"$20,030"
Pick 3,7-ELEVEN #21899,5195 W BYRON PL,DENVER,80212,29,"$11,890"
Pick 3,7-ELEVEN #21938A,4085 E MISSISSIPPI AVENUE,DENVER,80246,6,"$4,770"
Pick 3,7-ELEVEN #21967J,1475 'B' STREET,COLORADO SPRINGS,80906,68,"$26,800"
Pick 3,7-ELEVEN #22021B BCP WILLS,23250 2 RIVERS RD,BASALT,81621,1,$500
