Ball,Times drawn (excluding Powerball),Last time drawn,Times drawn as Powerball,Last time drawn as Powerball
1,165,10/21/2020,57,09/23/2020
2,172,08/12/2020,65,08/26/2020
3,160,10/21/2020,57,08/15/2020
4,144,09/02/2020,51,09/12/2020
5,174,10/10/2020,58,10/14/2020
6,160,10/17/2020,65,10/24/2020
7,178,08/05/2020,48,09/05/2020
8,177,09/23/2020,62,06/27/2020
9,170,06/27/2020,59,07/18/2020
10,178,10/17/2020,53,08/29/2020
11,168,10/28/2020,59,05/16/2020
12,178,08/26/2020,53,11/20/2019
13,176,10/21/2020,61,10/28/2020
14,186,09/30/2020,59,09/19/2020
15,155,09/05/2020,59,09/18/2019
16,188,09/12/2020,48,05/23/2020
17,181,09/23/2020,60,06/03/2020
18,164,10/24/2020,66,10/10/2020
19,177,08/26/2020,61,10/07/2020
20,181,10/24/2020,67,10/03/2020
21,162,10/14/2020,61,09/09/2020
22,178,09/05/2020,48,01/08/2020
23,185,10/10/2020,64,10/17/2020
24,163,10/07/2020,67,09/26/2020
25,154,08/01/2020,59,02/12/2020
26,176,06/03/2020,54,10/21/2020
27,164,10/24/2020,34,09/12/2015
28,177,10/28/2020,31,08/12/2015
29,150,08/29/2020,49,06/13/2015
30,175,10/07/2020,36,05/06/2015
31,166,10/17/2020,39,10/04/2014
32,196,07/18/2020,35,05/16/2015
33,153,06/24/2020,43,07/18/2015
34,157,08/15/2020,27,01/31/2015
35,164,07/29/2020,39,07/29/2015
36,172,10/03/2020,29,11/02/2011
37,167,10/28/2020,37,12/07/2011
38,161,06/06/2020,23,10/29/2011
39,179,05/16/2020,21,08/24/2011
40,182,10/28/2020,13,05/03/2008
41,188,06/20/2020,19,11/08/2008
42,175,08/22/2020,12,03/19/2008
43,167,10/03/2020,0,--
44,160,10/21/2020,0,--
45,175,10/24/2020,0,--
46,150,06/24/2020,0,--
47,164,10/03/2020,0,--
48,177,08/01/2020,0,--
49,176,09/30/2020,0,--
50,162,10/10/2020,0,--
51,143,09/16/2020,0,--
52,162,10/14/2020,0,--
53,153,10/28/2020,0,--
54,138,06/10/2020,0,--
55,125,09/09/2020,0,--
56,100,10/21/2020,0,--
57,95,09/19/2020,0,--
58,90,10/14/2020,0,--
59,108,09/23/2020,0,--
60,33,09/09/2020,0,--
61,49,07/25/2020,0,--
62,46,09/26/2020,0,--
63,43,07/01/2020,0,--
64,49,09/09/2020,0,--
65,30,10/24/2020,0,--
66,38,08/22/2020,0,--
67,39,09/30/2020,0,--
68,44,06/17/2020,0,--
69,48,09/02/2020,0,--
