Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Powerball,7-ELEVEN #13071B,5 WIDEFIELD,COLORADO SPRINGS,80911,1,"$1,000,000"
Powerball,7-ELEVEN #13111S,2727 S PRAIRIE,PUEBLO,81005,1,"$150,000"
Powerball,7-ELEVEN #13128B,9101 W JEWELL,LAKEWOOD,80232,3,"$70,000"
Powerball,7-ELEVEN #13157A,7270 BROADWAY,DENVER,80221,1,"$1,000,000"
Powerball,7-ELEVEN #13164A,2605 VALMONT RD,BOULDER,80304,1,"$50,000"
Powerball,7-ELEVEN #13167A,7540 PECOS ST,DENVER,80221,2,"$100,000"
Powerball,7-ELEVEN #13184B,841 KEN PRATT BLVD,LONGMONT,80501,2,"$190,000"
Powerball,7-ELEVEN #13195A,4040 E 8TH AVE,DENVER,80220,1,"$200,000"
Powerball,7-ELEVEN #13196B,1277 E HAMPDEN AVE,ENGLEWOOD,80113,1,"$100,000"
Powerball,7-ELEVEN #13206B,3900 S BROADWAY,ENGLEWOOD,80113,1,"$10,000"
Powerball,7-ELEVEN #13209C,1090 OGDEN STREET,DENVER,80218,1,"$10,000"
Powerball,7-ELEVEN #13213A,567 E LOUISIANA,DENVER,80210,1,"$50,000"
Powerball,7-ELEVEN #15754A,4770 W COLFAX,DENVER,80204,2,"$60,015"
Powerball,7-ELEVEN #17134B,9200 W ALAMEDA,LAKEWOOD,80226,1,"$1,000"
Powerball,7-ELEVEN #17142A,2081 W EISENHOWER,LOVELAND,80537,1,"$40,000"
Powerball,7-ELEVEN #17211A BCP WILLS,51315 HWY 6,GLENWOOD SPRINGS,81601,2,"$1,020,000"
Powerball,7-ELEVEN #17299A,8390 W 14TH AVE,LAKEWOOD,80214,1,"$100,000"
Powerball,7-ELEVEN #18449A,2790 S WADSWORTH,DENVER,80227,3,"$30,000"
Powerball,7-ELEVEN #18497A,5010 KIPLING ST,WHEAT RIDGE,80033,1,"$10,000"
Powerball,7-ELEVEN #18594A,8002 CHASE DR,ARVADA,80003,1,"$50,015"
Powerball,7-ELEVEN #18999A,3877 ASTROZON BLVD,COLORADO SPRINGS,80916,1,"$10,000"
Powerball,7-ELEVEN #19169S,926 LAKE AVE,PUEBLO,81004,2,"$1,050,000"
Powerball,7-ELEVEN #20182A,1499 W LITTLETON,LITTLETON,80120,1,"$50,000"
Powerball,7-ELEVEN #20638J,804 E 4TH ST,PUEBLO,81001,1,"$10,000"
Powerball,7-ELEVEN #21242A,6515 S DAYTON,ENGLEWOOD,80111,1,"$50,000"
Powerball,7-ELEVEN #21938A,4085 E MISSISSIPPI AVENUE,DENVER,80246,1,"$10,000"
Powerball,7-ELEVEN #22533C,4601 S BROADWAY,ENGLEWOOD,80113,3,"$240,000"
Powerball,7-ELEVEN #23154A,13790 E QUINCY AVE,AURORA,80015,1,"$1,000"
Powerball,7-ELEVEN #23172D,303 N BROADWAY,DENVER,80203,1,"$10,000"
Powerball,7-ELEVEN #23418A,10502 E COLFAX,AURORA,80010,1,"$10,000"
Powerball,7-ELEVEN #23546B,1402 HARRISON RD,COLORADO SPRINGS,80905,1,"$30,000"
Powerball,7-ELEVEN #23731A,328 E PLATTE,COLORADO SPRINGS,80903,1,"$50,000"
Powerball,7-ELEVEN #23867A,1499 S FEDERAL,DENVER,80219,1,"$10,000"
Powerball,7-ELEVEN #23935A,3805 E PIKES PEAK AVENUE,COLORADO SPRINGS,80909,1,"$1,000,000"
Powerball,7-ELEVEN #24079B,8250 W COAL MINE AVE,LITTLETON,80123,1,"$10,000"
Powerball,7-ELEVEN #24438A,995 N CIRCLE,COLORADO SPRINGS,80909,1,"$20,000"
