Draw date,Last Day To Claim,Winning Numbers,Powerball,Power Play,Jackpot,Jackpot Cash Value,Jackpot Winners,Jackpot CO Winners,Match 5 Prize,Match 5 CO Winners,Match 5 Prize (with Power Play),Match 5 CO Winners (with Power Play),Match 4 + Powerball Prize,Match 4 + Powerball CO Winners,Match 4 + Powerball Prize (with Power Play),Match 4 + Powerball CO Winners (with Power Play),Match 4 Prize,Match 4 CO Winners,Match 4 Prize (with Power Play),Match 4 CO Winners (with Power Play),Match 3 + Powerball Prize,Match 3 + Powerball CO Winners,Match 3 + Powerball Prize (with Power Play),Match 3 + Powerball CO Winners (with Power Play),Match 3 Prize,Match 3 CO Winners,Match 3 Prize (with Power Play),Match 3 CO Winners (with Power Play),Match 2 + Powerball Prize,Match 2 + Powerball CO Winners,Match 2 + Powerball Prize (with Power Play),Match 2 + Powerball CO Winners (with Power Play),Match 1 + Powerball Prize,Match 1 + Powerball CO Winners,Match 1 + Powerball Prize (with Power Play),Match 1 + Powerball CO Winners (with Power Play),Match 0 + Powerball Prize,Match 0 + Powerball CO Winners,Match 0 + Powerball Prize (with Power Play),Match 0 + Powerball CO Winners (with Power Play)
"Oct. 28, 2020",04/26/2021,11 - 28 - 37 - 40 - 53,13,2,"$116,000,000","$89,500,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,3,$200,1,$100,5,$200,5,$7,176,$14,170,$7,127,$14,145,$4,1075,$8,1012,$4,2488,$8,2438
"Oct. 24, 2020",04/22/2021,18 - 20 - 27 - 45 - 65,6,2,"$102,000,000","$80,700,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,1,$200,1,$100,8,$200,6,$7,160,$14,172,$7,166,$14,159,$4,1113,$8,1054,$4,2714,$8,2480
"Oct. 21, 2020",04/19/2021,1 - 3 - 13 - 44 - 56,26,3,"$91,000,000","$72,000,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$150,000",0,$100,1,$300,0,$100,14,$300,10,$7,188,$21,163,$7,118,$21,126,$4,979,$12,986,$4,2202,$12,2132
"Oct. 17, 2020",04/15/2021,6 - 10 - 31 - 37 - 44,23,2,"$82,000,000","$64,200,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,5,$200,5,$100,8,$200,7,$7,170,$14,165,$7,136,$14,126,$4,986,$8,1008,$4,2237,$8,2173
"Oct. 14, 2020",04/12/2021,21 - 37 - 52 - 53 - 58,5,2,"$72,000,000","$56,300,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,3,$200,2,$100,3,$200,3,$7,130,$14,118,$7,83,$14,101,$4,879,$8,886,$4,2240,$8,2165
"Oct. 10, 2020",04/08/2021,5 - 18 - 23 - 40 - 50,18,3,"$62,000,000","$49,600,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$150,000",0,$100,0,$300,4,$100,5,$300,10,$7,150,$21,163,$7,148,$21,151,$4,925,$12,1023,$4,2193,$12,2351
"Oct. 7, 2020",04/05/2021,6 - 24 - 30 - 53 - 56,19,2,"$52,000,000","$41,600,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,1,$200,0,$100,7,$200,5,$7,117,$14,139,$7,98,$14,101,$4,815,$8,837,$4,2044,$8,2040
"Oct. 3, 2020",04/01/2021,18 - 31 - 36 - 43 - 47,20,2,"$43,000,000","$34,500,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,1,$200,3,$100,7,$200,10,$7,137,$14,129,$7,105,$14,110,$4,851,$8,876,$4,2023,$8,2129
"Sept. 30, 2020",03/29/2021,14 - 18 - 36 - 49 - 67,18,2,"$34,000,000","$27,300,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,1,$200,3,$100,5,$200,4,$7,130,$14,92,$7,137,$14,114,$4,803,$8,856,$4,2053,$8,2057
"Sept. 26, 2020",03/25/2021,11 - 21 - 27 - 36 - 62,24,3,"$25,000,000","$20,000,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$150,000",1,$100,1,$300,4,$100,10,$300,13,$7,140,$21,163,$7,102,$21,132,$4,811,$12,845,$4,2012,$12,1949
"Sept. 23, 2020",03/22/2021,8 - 17 - 49 - 52 - 59,1,2,"$22,000,000","$17,600,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,1,$200,2,$100,2,$200,4,$7,97,$14,98,$7,85,$14,78,$4,775,$8,702,$4,1742,$8,1704
"Sept. 19, 2020",03/18/2021,11 - 14 - 23 - 47 - 57,14,4,"$20,000,000","$16,000,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$200,000",0,$100,1,$400,1,$100,8,$400,6,$7,122,$28,147,$7,124,$28,106,$4,782,$16,837,$4,1799,$16,1888
"Sept. 16, 2020",03/15/2021,10 - 17 - 31 - 51 - 53,1,2,"$94,000,000","$75,100,000",1,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",1,$100,3,$200,2,$100,6,$200,6,$7,157,$14,136,$7,128,$14,113,$4,943,$8,907,$4,2240,$8,2086
"Sept. 12, 2020",03/11/2021,16 - 17 - 20 - 53 - 67,4,2,"$85,000,000","$67,900,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,1,$200,4,$100,5,$200,5,$7,127,$14,139,$7,131,$14,125,$4,1024,$8,996,$4,2394,$8,2332
"Sept. 9, 2020",03/08/2021,27 - 52 - 55 - 60 - 64,21,3,"$75,000,000","$59,900,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$150,000",0,$100,2,$300,4,$100,7,$300,3,$7,123,$21,116,$7,102,$21,91,$4,800,$12,809,$4,2069,$12,2080
"Sept. 5, 2020",03/04/2021,15 - 21 - 22 - 27 - 47,7,2,"$66,000,000","$52,000,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",1,$100,2,$200,0,$100,9,$200,8,$7,161,$14,174,$7,177,$14,181,$4,1138,$8,1096,$4,2439,$8,2466
"Sept. 2, 2020",03/01/2021,1 - 4 - 11 - 20 - 69,18,2,"$56,000,000","$44,100,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",1,$100,1,$200,3,$100,5,$200,8,$7,194,$14,194,$7,138,$14,134,$4,932,$8,880,$4,2101,$8,2103
"Aug. 29, 2020",02/25/2021,5 - 21 - 22 - 29 - 43,10,2,"$47,000,000","$37,700,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,1,$200,4,$100,5,$200,8,$7,142,$14,185,$7,133,$14,121,$4,887,$8,934,$4,2111,$8,2172
"Aug. 26, 2020",02/22/2021,8 - 12 - 19 - 47 - 58,2,2,"$37,000,000","$29,700,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,2,$200,2,$100,6,$200,10,$7,142,$14,158,$7,95,$14,103,$4,807,$8,798,$4,1879,$8,1864
"Aug. 22, 2020",02/18/2021,19 - 30 - 36 - 42 - 66,14,3,"$29,000,000","$23,500,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$150,000",1,$100,5,$300,3,$100,3,$300,10,$7,126,$21,118,$7,85,$21,111,$4,841,$12,918,$4,2054,$12,2077
"Aug. 19, 2020",02/15/2021,13 - 23 - 47 - 55 - 58,23,10,"$22,000,000","$17,800,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$500,000",0,$100,4,"$1,000",5,$100,3,"$1,000",9,$7,112,$70,114,$7,90,$70,88,$4,732,$40,726,$4,1814,$40,1862
"Aug. 15, 2020",02/11/2021,5 - 12 - 34 - 45 - 56,3,3,"$20,000,000","$16,600,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$150,000",0,$100,2,$300,2,$100,4,$300,7,$7,137,$21,124,$7,116,$21,120,$4,934,$12,891,$4,2028,$12,2197
"Aug. 12, 2020",02/08/2021,2 - 6 - 18 - 36 - 37,21,2,"$169,000,000","$140,600,000",1,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$100,000",0,$100,0,$200,5,$100,9,$200,8,$7,270,$14,207,$7,198,$14,155,$4,1440,$8,1229,$4,3299,$8,2961
"Aug. 8, 2020",02/04/2021,2 - 3 - 14 - 40 - 51,24,3,"$158,000,000","$130,300,000",0,0,"$1,000,000",0,"$2,000,000",0,"$50,000",0,"$150,000",0,$100,0,$300,2,$100,11,$300,13,$7,223,$21,218,$7,216,$21,206,$4,1496,$12,1312,$4,3384,$12,3019
