Draw date,Last Day To Claim,Winning Numbers,Exact Order Prize ($0.50 bet),Exact Order CO Winners ($0.50 bet),Exact Order Prize ($1 bet),Exact Order CO Winners ($1 bet),Exact Order Prize ($2 bet),Exact Order CO Winners ($2 bet),Exact Order Prize ($5 bet),Exact Order CO Winners ($5 bet),Any Order Prize ($0.50 bet),Any Order CO Winners ($0.50 bet),Any Order Prize ($1 bet),Any Order CO Winners ($1 bet),Any Order Prize ($2 bet),Any Order CO Winners ($2 bet),Any Order Prize ($5 bet),Any Order CO Winners ($5 bet),Front Pair Prize ($0.50 bet),Front Pair CO Winners ($0.50 bet),Front Pair Prize ($1 bet),Front Pair CO Winners ($1 bet),Front Pair Prize ($2 bet),Front Pair CO Winners ($2 bet),Front Pair Prize ($5 bet),Front Pair CO Winners ($5 bet),Back Pair Prize ($0.50 bet),Back Pair CO Winners ($0.50 bet),Back Pair Prize ($1 bet),Back Pair CO Winners ($1 bet),Back Pair Prize ($2 bet),Back Pair CO Winners ($2 bet),Back Pair Prize ($5 bet),Back Pair CO Winners ($5 bet),Exact Order Prize (exact+any $1 bet),Exact Order CO Winners (exact+any $1 bet),Exact Order Prize (exact+any $2 bet),Exact Order CO Winners (exact+any $2 bet),Exact Order Prize (exact+any $5 bet),Exact Order CO Winners (exact+any $5 bet),Any Order Prize (exact+any $1 bet),Any Order CO Winners (exact+any $1 bet),Any Order Prize (exact+any $2 bet),Any Order CO Winners (exact+any $2 bet),Any Order Prize (exact+any $5 bet),Any Order CO Winners (exact+any $5 bet)
"Oct. 29, 2020: Midday",04/27/2021,7 - 6 - 8,$250,3,$500,6,"$1,000",0,"$2,500",0,$40,12,$80,7,$160,3,$400,2,$30,0,$60,0,$120,0,$300,5,$30,1,$60,0,$120,2,$300,0,$290,1,$580,0,"$1,450",0,$40,36,$80,5,$200,2
"Oct. 29, 2020: Evening",04/27/2021,4 - 2 - 4,$250,4,$500,3,"$1,000",0,"$2,500",0,$80,8,$160,5,$320,1,$800,0,$30,2,$60,4,$120,1,$300,0,$30,4,$60,4,$120,2,$300,0,$330,11,$660,1,"$1,650",0,$80,16,$160,2,$400,1
"Oct. 28, 2020: Evening",04/26/2021,3 - 8 - 0,$250,0,$500,4,"$1,000",0,"$2,500",0,$40,4,$80,11,$160,3,$400,0,$30,1,$60,2,$120,0,$300,0,$30,1,$60,0,$120,0,$300,0,$290,4,$580,0,"$1,450",0,$40,18,$80,6,$200,0
"Oct. 28, 2020: Midday",04/26/2021,7 - 5 - 9,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,4,$80,4,$160,1,$400,2,$30,0,$60,0,$120,0,$300,0,$30,1,$60,0,$120,1,$300,0,$290,0,$580,1,"$1,450",0,$40,8,$80,2,$200,1
"Oct. 27, 2020: Midday",04/25/2021,8 - 3 - 3,$250,0,$500,4,"$1,000",0,"$2,500",0,$80,6,$160,3,$320,1,$800,0,$30,1,$60,1,$120,2,$300,1,$30,2,$60,7,$120,3,$300,2,$330,3,$660,0,"$1,650",0,$80,7,$160,1,$400,0
"Oct. 27, 2020: Evening",04/25/2021,8 - 7 - 0,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,9,$80,4,$160,1,$400,4,$30,2,$60,0,$120,1,$300,0,$30,3,$60,2,$120,0,$300,2,$290,3,$580,0,"$1,450",0,$40,30,$80,6,$200,1
"Oct. 26, 2020: Evening",04/24/2021,0 - 8 - 3,$250,0,$500,5,"$1,000",0,"$2,500",0,$40,5,$80,8,$160,2,$400,0,$30,1,$60,0,$120,0,$300,0,$30,2,$60,1,$120,3,$300,0,$290,0,$580,1,"$1,450",0,$40,26,$80,4,$200,1
"Oct. 26, 2020: Midday",04/24/2021,0 - 8 - 8,$250,3,$500,1,"$1,000",0,"$2,500",0,$80,4,$160,4,$320,0,$800,0,$30,1,$60,0,$120,0,$300,0,$30,4,$60,2,$120,0,$300,1,$330,0,$660,0,"$1,650",0,$80,9,$160,0,$400,0
"Oct. 25, 2020: Midday",04/23/2021,2 - 4 - 6,$250,3,$500,5,"$1,000",0,"$2,500",0,$40,7,$80,7,$160,4,$400,0,$30,2,$60,0,$120,0,$300,1,$30,1,$60,1,$120,1,$300,5,$290,8,$580,0,"$1,450",0,$40,25,$80,7,$200,1
"Oct. 25, 2020: Evening",04/23/2021,7 - 5 - 4,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,6,$80,10,$160,1,$400,0,$30,0,$60,0,$120,0,$300,0,$30,1,$60,0,$120,2,$300,1,$290,4,$580,0,"$1,450",0,$40,16,$80,8,$200,0
